index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,intel_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,3,367,16,True,7,15,0.5000000000000001,0.525
1,0,C,2008_myanmar_military,0.7221,0.17600000000000005,0.55,0.098,intel_effectiveness,0.27999999999999997,0.0,0.20799138711209983,0.35,0.5641,0.3637,0.03747368421052632,0.35,0.44999999999999996,2,0.7014463039739869,3,367,16,True,7,15,0.5000000000000001,0.525
2,1,C,2008_myanmar_military,0.7321,0.10080000000000001,0.55,0.0,intel_effectiveness,0.30999999999999994,0.0,0.22539383592815113,0.35,0.32168491160225304,0.376,0.07021052631578947,0.36,0.45999999999999996,1,0.6528926079479738,3,367,16,True,7,15,0.5000000000000001,0.525
3,2,C,2008_myanmar_military,0.7421,0.1,0.55,0.0,intel_effectiveness,0.3399999999999999,0.0,0.2442584504369964,0.35,0.294238394455108,0.3874,0.14568421052631578,0.37,0.47,1,0.651755460902337,3,367,16,True,7,15,0.5000000000000001,0.525
4,3,C,2008_myanmar_military,0.7521,0.1,0.55,0.0,intel_effectiveness,0.3699999999999999,0.0,0.2607869344028343,0.35,0.2858679623107918,0.3945,0.2348421052631579,0.38,0.48,2,0.6360113100458336,3,367,16,True,7,15,0.5000000000000001,0.525
5,4,C,2008_myanmar_military,0.7621,0.1,0.55,0.0,intel_effectiveness,0.39999999999999986,0.0,0.2647823818367418,0.35,0.27344830583191826,0.4017,0.3078947368421053,0.39,0.49,2,0.6202671591893301,3,367,16,True,7,15,0.5000000000000001,0.525
6,5,C,2008_myanmar_military,0.7721,0.1,0.55,0.022222222222222223,intel_effectiveness,0.4299999999999998,0.0,0.2719115341822384,0.35,0.26983918564565534,0.4184,0.36378947368421055,0.4,0.5,1,0.6045230083328266,3,367,16,True,7,15,0.5000000000000001,0.525
7,6,C,2008_myanmar_military,0.7821,0.1,0.55,0.05454545454545454,intel_effectiveness,0.4599999999999998,0.0,0.27584946831342866,0.35,0.26456360882761554,0.4429,0.4068421052631579,0.41000000000000003,0.51,2,0.6260196402840392,3,367,16,True,7,15,0.5000000000000001,0.525
8,7,C,2008_myanmar_military,0.7921,0.1,0.55,0.20634920634920634,intel_effectiveness,0.48999999999999977,0.0,0.2779319721910586,0.35,0.2491201916613425,0.4561,0.44242105263157894,0.42000000000000004,0.52,2,0.6475162722352519,3,367,16,True,7,15,0.5000000000000001,0.525
9,8,C,2008_myanmar_military,0.8021,0.1,0.55,0.3055555555555556,intel_effectiveness,0.5199999999999998,0.0,0.2809217851242437,0.35,0.2496681131880266,0.4785,0.4703157894736842,0.43000000000000005,0.53,2,0.6525162722352519,3,367,16,True,7,15,0.5000000000000001,0.525
10,9,C,2008_myanmar_military,0.8121,0.1,0.55,0.48717948717948717,intel_effectiveness,0.5499999999999998,0.0,0.2840163312111974,0.35,0.23343347674609918,0.5022,0.4956842105263158,0.44000000000000006,0.54,1,0.6312887662127312,3,367,16,True,7,15,0.5000000000000001,0.525
11,10,C,2008_myanmar_military,0.8221,0.1,0.55,0.5476190476190477,intel_effectiveness,0.5799999999999998,0.0,0.28598695740064384,0.35,0.2308919066672082,0.522,0.5211578947368422,0.45000000000000007,0.55,1,0.6100612601902106,3,367,16,True,7,15,0.5000000000000001,0.525
12,11,C,2008_myanmar_military,0.8321,0.1,0.55,0.6041666666666666,intel_effectiveness,0.6099999999999999,0.0,0.28673504939187483,0.35,0.22233902200393002,0.5463,0.5437894736842105,0.4600000000000001,0.56,0,0.5888337541676899,3,367,16,True,7,15,0.5000000000000001,0.525
13,12,C,2008_myanmar_military,0.8421,0.1,0.55,0.6470588235294118,intel_effectiveness,0.6399999999999999,0.0,0.2871911141253691,0.35,0.2082531126602526,0.5636,0.5641052631578948,0.4700000000000001,0.5700000000000001,0,0.5938337541676899,3,367,16,True,7,15,0.5000000000000001,0.525
14,13,C,2008_myanmar_military,0.8521,0.1,0.55,0.6851851851851852,intel_effectiveness,0.6699999999999999,0.0,0.28796811777160836,0.35,0.1974923706299384,0.5855,0.5845263157894737,0.4800000000000001,0.5800000000000001,0,0.5988337541676899,3,367,16,True,7,15,0.5000000000000001,0.525
15,14,C,2008_myanmar_military,0.8621,0.1,0.55,0.7363636363636363,intel_effectiveness,0.7,0.0,0.2891268999190168,0.35,0.19001742240755348,0.6033,0.6052631578947368,0.4900000000000001,0.5900000000000001,0,0.6038337541676899,3,367,16,True,7,15,0.5000000000000001,0.525
16,15,C,2008_myanmar_military,0.8721,0.1,0.55,0.782608695652174,intel_effectiveness,0.73,0.0,0.2885308055940596,0.35,0.18001374695935202,0.628,0.6250526315789474,0.5000000000000001,0.6000000000000001,0,0.6088337541676899,3,367,16,True,7,15,0.5000000000000001,0.525
