index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,intel_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,70,7067,16,True,7,15,0.5000000000000001,0.525
1,0,C,2008_myanmar_military,0.7504,0.17600000000000005,0.55,0.098,intel_effectiveness,0.27999999999999997,0.0,0.178692857091457,0.35,0.5641,0.3582,0.038,0.35,0.44999999999999996,0,0.755,70,7067,16,True,7,15,0.5000000000000001,0.525
2,1,C,2008_myanmar_military,0.7604,0.10080000000000001,0.55,0.0,intel_effectiveness,0.30999999999999994,0.0,0.19719550770289454,0.35,0.3319414978367051,0.3717,0.07726315789473684,0.36,0.45999999999999996,0,0.76,70,7067,16,True,7,15,0.5000000000000001,0.525
3,2,C,2008_myanmar_military,0.7704,0.1,0.55,0.0,intel_effectiveness,0.3399999999999999,0.0,0.22566620543031865,0.35,0.2886266720038959,0.3828,0.14389473684210527,0.37,0.47,0,0.765,70,7067,16,True,7,15,0.5000000000000001,0.525
4,3,C,2008_myanmar_military,0.7804,0.1,0.55,0.0,intel_effectiveness,0.3699999999999999,0.0,0.24201056387599554,0.35,0.28743699199016787,0.3901,0.228,0.38,0.48,0,0.77,70,7067,16,True,7,15,0.5000000000000001,0.525
5,4,C,2008_myanmar_military,0.7904,0.1,0.55,0.0,intel_effectiveness,0.39999999999999986,0.0,0.25229973477545065,0.35,0.2787731794809162,0.3965,0.30105263157894735,0.39,0.49,0,0.775,70,7067,16,True,7,15,0.5000000000000001,0.525
6,5,C,2008_myanmar_military,0.8004,0.1,0.55,0.0,intel_effectiveness,0.4299999999999998,0.0,0.2531605493290246,0.35,0.2747595201379043,0.4147,0.35168421052631577,0.4,0.5,1,0.7438282820055726,70,7067,16,True,7,15,0.5000000000000001,0.525
7,6,C,2008_myanmar_military,0.8104,0.1,0.55,0.0784313725490196,intel_effectiveness,0.4599999999999998,0.0,0.256590131270218,0.35,0.25497532976321047,0.4356,0.39652631578947367,0.41000000000000003,0.51,2,0.7318758801300024,70,7067,16,True,7,15,0.5000000000000001,0.525
8,7,C,2008_myanmar_military,0.8204,0.1,0.55,0.16393442622950818,intel_effectiveness,0.48999999999999977,0.0,0.26022265046799775,0.35,0.25689747809979646,0.4524,0.4383157894736842,0.42000000000000004,0.52,2,0.7199234782544321,70,7067,16,True,7,15,0.5000000000000001,0.525
9,8,C,2008_myanmar_military,0.8304,0.1,0.55,0.26153846153846155,intel_effectiveness,0.5199999999999998,0.0,0.2613669355226801,0.35,0.2419513879427385,0.4733,0.46957894736842104,0.43000000000000005,0.53,1,0.7441427943732893,70,7067,16,True,7,15,0.5000000000000001,0.525
10,9,C,2008_myanmar_military,0.8404,0.1,0.55,0.4117647058823529,intel_effectiveness,0.5499999999999998,0.0,0.26166679228452655,0.35,0.24120504876098067,0.4926,0.49642105263157893,0.44000000000000006,0.54,2,0.7683621104921465,70,7067,16,True,7,15,0.5000000000000001,0.525
11,10,C,2008_myanmar_military,0.8504,0.1,0.55,0.5492957746478874,intel_effectiveness,0.5799999999999998,0.0,0.2631930452297426,0.35,0.22732579195577446,0.5167,0.5193684210526316,0.45000000000000007,0.55,2,0.7925814266110037,70,7067,16,True,7,15,0.5000000000000001,0.525
12,11,C,2008_myanmar_military,0.8604,0.1,0.55,0.5925925925925926,intel_effectiveness,0.6099999999999999,0.0,0.2647569300951768,0.35,0.21389850822225653,0.538,0.5418947368421053,0.4600000000000001,0.56,2,0.859956536390394,70,7067,16,True,7,15,0.5000000000000001,0.525
13,12,C,2008_myanmar_military,0.8704,0.1,0.55,0.6428571428571429,intel_effectiveness,0.6399999999999999,0.0,0.2641313326954647,0.35,0.21237741908304197,0.5621,0.5641052631578948,0.4700000000000001,0.5700000000000001,3,0.9081123300509272,70,7067,16,True,7,15,0.5000000000000001,0.525
14,13,C,2008_myanmar_military,0.8804,0.1,0.55,0.6704545454545454,intel_effectiveness,0.6699999999999999,0.0,0.2641891934585575,0.35,0.1990345384702374,0.5877,0.5817894736842105,0.4800000000000001,0.5800000000000001,1,0.9562681237114603,70,7067,16,True,7,15,0.5000000000000001,0.525
15,14,C,2008_myanmar_military,0.8904,0.1,0.55,0.6989247311827957,intel_effectiveness,0.7,0.0,0.2649624881243336,0.35,0.1868595293851189,0.6132,0.6009473684210527,0.4900000000000001,0.5900000000000001,0,1.0,70,7067,16,True,7,15,0.5000000000000001,0.525
16,15,C,2008_myanmar_military,0.9004,0.1,0.55,0.7346938775510204,intel_effectiveness,0.73,0.0,0.26484795841107517,0.35,0.17598197680862449,0.6351,0.6196842105263158,0.5000000000000001,0.6000000000000001,0,1.0,70,7067,16,True,7,15,0.5000000000000001,0.525
