index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,intel_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,82,8267,16,True,10,15,0.5000000000000001,0.525
1,0,C,2008_myanmar_military,0.7529,0.17600000000000005,0.55,0.0,intel_effectiveness,0.27999999999999997,0.0,0.16919101630618688,0.35,0.5641,0.3625,0.04052631578947368,0.35,0.44999999999999996,0,0.755,82,8267,16,True,10,15,0.5000000000000001,0.525
2,1,C,2008_myanmar_military,0.7629,0.10080000000000001,0.55,0.0,intel_effectiveness,0.30999999999999994,0.0,0.24772174733104552,0.35,0.3220242035930332,0.3758,0.074,0.36,0.45999999999999996,1,0.76,82,8267,16,True,10,15,0.5000000000000001,0.525
3,2,C,2008_myanmar_military,0.7729,0.1,0.55,0.0,intel_effectiveness,0.3399999999999999,0.0,0.2601604392494549,0.35,0.297123936234784,0.3852,0.14905263157894738,0.37,0.47,1,0.7810454433145287,82,8267,16,True,10,15,0.5000000000000001,0.525
4,3,C,2008_myanmar_military,0.7829,0.1,0.55,0.0,intel_effectiveness,0.3699999999999999,0.0,0.2656613482956122,0.35,0.28115711700482626,0.3904,0.23642105263157895,0.38,0.48,2,0.7808930489692854,82,8267,16,True,10,15,0.5000000000000001,0.525
5,4,C,2008_myanmar_military,0.7929,0.1,0.55,0.02857142857142857,intel_effectiveness,0.39999999999999986,0.0,0.2683649123323151,0.35,0.2796604226719427,0.3975,0.3083157894736842,0.39,0.49,2,0.780740654624042,82,8267,16,True,10,15,0.5000000000000001,0.525
6,5,C,2008_myanmar_military,0.8029,0.1,0.55,0.07317073170731707,intel_effectiveness,0.4299999999999998,0.0,0.2714965189137242,0.35,0.27654018449915474,0.4134,0.3636842105263158,0.4,0.5,2,0.7867427274014134,82,8267,16,True,10,15,0.5000000000000001,0.525
7,6,C,2008_myanmar_military,0.8129,0.1,0.55,0.08163265306122448,intel_effectiveness,0.4599999999999998,0.0,0.2720188207809173,0.35,0.2628886700987125,0.4367,0.40842105263157896,0.41000000000000003,0.51,2,0.7927448001787848,82,8267,16,True,10,15,0.5000000000000001,0.525
8,7,C,2008_myanmar_military,0.8229,0.1,0.55,0.2033898305084746,intel_effectiveness,0.48999999999999977,0.0,0.272539849483842,0.35,0.24986612225383972,0.4512,0.44273684210526315,0.42000000000000004,0.52,2,0.7987468729561562,82,8267,16,True,10,15,0.5000000000000001,0.525
9,8,C,2008_myanmar_military,0.8329,0.1,0.55,0.34328358208955223,intel_effectiveness,0.5199999999999998,0.0,0.2730926092601022,0.35,0.25286474780681295,0.4739,0.4750526315789474,0.43000000000000005,0.53,1,0.8037468729561562,82,8267,16,True,10,15,0.5000000000000001,0.525
10,9,C,2008_myanmar_military,0.8429,0.1,0.55,0.4533333333333333,intel_effectiveness,0.5499999999999998,0.0,0.2739536455517307,0.35,0.23164141501228086,0.4995,0.5006315789473684,0.44000000000000006,0.54,3,0.7629082183643344,82,8267,16,True,10,15,0.5000000000000001,0.525
11,10,C,2008_myanmar_military,0.8529,0.1,0.55,0.46987951807228917,intel_effectiveness,0.5799999999999998,0.0,0.27363944466352164,0.35,0.22292204390957798,0.5233,0.5224210526315789,0.45000000000000007,0.55,2,0.7220695637725126,82,8267,16,True,10,15,0.5000000000000001,0.525
12,11,C,2008_myanmar_military,0.8629,0.1,0.55,0.46875,intel_effectiveness,0.6099999999999999,0.0,0.27257091850537346,0.35,0.2151810690780741,0.5475,0.5461052631578948,0.4600000000000001,0.56,0,0.6812309091806908,82,8267,16,True,10,15,0.5000000000000001,0.525
13,12,C,2008_myanmar_military,0.8729,0.1,0.55,0.5185185185185185,intel_effectiveness,0.6399999999999999,0.0,0.2721069579383916,0.35,0.21696714280122975,0.5713,0.5663157894736842,0.4700000000000001,0.5700000000000001,0,0.6862309091806909,82,8267,16,True,10,15,0.5000000000000001,0.525
14,13,C,2008_myanmar_military,0.8829,0.1,0.55,0.5726495726495726,intel_effectiveness,0.6699999999999999,0.0,0.2713852745969226,0.35,0.1953661177358667,0.5989,0.5850526315789474,0.4800000000000001,0.5800000000000001,1,0.6676873339462799,82,8267,16,True,10,15,0.5000000000000001,0.525
15,14,C,2008_myanmar_military,0.8929,0.1,0.55,0.6016260162601627,intel_effectiveness,0.7,0.0,0.2709777207004537,0.35,0.1880127687722301,0.6267,0.6049473684210527,0.4900000000000001,0.5900000000000001,0,0.6491437587118689,82,8267,16,True,10,15,0.5000000000000001,0.525
16,15,C,2008_myanmar_military,0.9029,0.1,0.55,0.6538461538461539,intel_effectiveness,0.73,0.0,0.2709448571147349,0.35,0.17739971445069452,0.6438,0.6228421052631579,0.5000000000000001,0.6000000000000001,0,0.6541437587118689,82,8267,16,True,10,15,0.5000000000000001,0.525
