year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,B,0.16642991183314146,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,8,866
0,B,0.21372111060354024,0.3854197561740875,0.45917914379741753,0.43,0.1,0.6653876900672913,0.00988,0.6817281031981111,0.5477334539833085,0.5193865964399939,0.05120210264500575,0,0,0.09416999999999999,False,0,8,866
1,B,0.26597617903104476,0.3515222668647766,0.45916819287492827,0.41,0.1,0.8100425601005554,0.00902,0.5740952510386705,0.5262817551583223,0.5496574006325678,0.05120657524391962,0,0,0.0771255,False,0,8,866
2,B,0.3085486685689666,0.29406100511550903,0.4591569584514279,0.38999999999999996,0.1,0.791414201259613,0.00834,0.414443489164114,0.4943080925576256,0.5273803161612376,0.05015403270031937,0,0,0.07911,False,0,8,866
3,B,0.3659022867138201,0.22145164012908936,0.4591452493099213,0.36999999999999994,0.1,0.7763382196426392,0.00894,0.21734842658042908,0.45847230780143344,0.5001602013246125,0.04939197035841672,0,0,0.082419,False,0,8,866
4,B,0.4344909486664637,0.13640286028385162,0.45913295579585234,0.3499999999999999,0.1,0.7522480487823486,0.01096,0.0,0.4154565352993431,0.46564942832154504,0.048186478905486184,0,0,0.08655750000000001,False,0,8,866
5,B,0.49421616373046434,0.05618172511458397,0.4591199902678804,0.3299999999999999,0.1,0.7263902425765991,0.01562,0.0,0.3924000264936425,0.4536272628333841,0.04664394198204757,0,0,0.091302,False,0,8,866
6,B,0.5393835553801583,0.009055482223629951,0.4591065562115657,0.3099999999999999,0.1,0.7037593126296997,0.02252,0.0,0.3762799203553505,0.44382095906738395,0.04536731518540727,0,0,0.09454199999999999,False,0,8,866
7,B,0.5843056516407239,0.0003922436444554478,0.45909285572089487,0.28999999999999987,0.1,0.6811339855194092,0.0314,0.0,0.3691684107309069,0.4376541111549605,0.0445274277764796,0,0,0.09644549999999999,False,0,8,866
8,B,0.6192747358212302,1.0120352271769661e-05,0.45907909187432017,0.26999999999999985,0.1,0.6628791689872742,0.04136,0.0,0.36335365495744104,0.4315485870898191,0.04369490189356934,0,0,0.09681,False,0,8,866
9,B,0.639450166300013,4.566758704527274e-08,0.4590653286029951,0.24999999999999986,0.1,0.6474359035491943,0.05274,0.0,0.3598092520805575,0.42793131604469253,0.0431609670066199,0,1,0.09681,False,0,8,866
10,B,0.6605148590432848,4.18994432038744e-07,0.45905156590682594,0.22999999999999987,0.17415421303656597,0.641278862953186,0.06426,0.0,0.35955800429220686,0.4280124584249968,0.043070841724969666,1,3,0.09681,False,0,8,866
11,B,0.6745930821707646,3.2350510537071386e-07,0.45903780378576875,0.25999999999999984,0.3151922398589065,0.6340699791908264,0.07506,0.0,0.3591088252657569,0.4278712852391789,0.0429540385696332,3,8,0.09681,True,0,8,866
