index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,A,mfu_v7,0.72,0.22,0.6,0.3,iig_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,78,7865,50,False,31,0,0.35,1.0
1,0,A,mfu_v7,0.7371,0.319,0.55,0.31,iig_effectiveness,0.23,0.0,0.0900193078685873,0.35,0.61515,0.3642,0.037789473684210526,0.35,1.0,1,0.7407654097908004,78,7865,50,False,31,0,0.35,1.0
2,1,A,mfu_v7,0.7371,0.40030026142019687,0.55,0.30019999999999997,iig_effectiveness,0.21000000000000002,0.0,0.20585802434679737,0.35,0.6568052483491871,0.3757,0.07147368421052631,0.35,1.0,1,0.7067672087905738,78,7865,50,False,31,0,0.35,1.0
3,2,A,mfu_v7,0.7371,0.43196312232108,0.55,0.3004,iig_effectiveness,0.19000000000000003,0.0,0.23621312605646078,0.35,0.6587388564085432,0.3851,0.10694736842105264,0.35,1.0,2,0.6870035979995467,78,7865,50,False,31,0,0.35,1.0
4,3,A,mfu_v7,0.7371,0.4483077740596801,0.55,0.3006,iig_effectiveness,0.17000000000000004,0.0,0.24151609908553348,0.35,0.6669678739818425,0.3918,0.14326315789473684,0.35,1.0,0,0.6672399872085196,78,7865,50,False,31,0,0.35,1.0
5,4,A,mfu_v7,0.7371,0.47343696372533506,0.55,0.3008,iig_effectiveness,0.15000000000000005,0.0,0.24963667587365687,0.35,0.6899758504340026,0.3985,0.18157894736842106,0.35,1.0,0,0.6722399872085196,78,7865,50,False,31,0,0.35,1.0
6,5,A,mfu_v7,0.7363,0.4771301312354608,0.55,0.301,iig_effectiveness,0.13000000000000006,0.0,0.25370180986882834,0.35,0.6889300999090471,0.4181,0.22642105263157894,0.35,1.0,0,0.6772399872085196,78,7865,50,False,31,0,0.35,1.0
7,6,A,mfu_v7,0.7345,0.49714299621098,0.55,0.30119999999999997,iig_effectiveness,0.11000000000000006,0.0,0.2574232704970052,0.35,0.7123911912815375,0.4347,0.27052631578947367,0.35,1.0,0,0.6822399872085196,78,7865,50,False,31,0,0.35,1.0
8,7,A,mfu_v7,0.7293,0.5179258029779669,0.55,0.3014,iig_effectiveness,0.09000000000000005,0.0,0.2612708283912863,0.35,0.7297294544204569,0.451,0.3174736842105263,0.35,1.0,0,0.6872399872085196,78,7865,50,False,31,0,0.35,1.0
9,8,A,mfu_v7,0.7223,0.5349732501250787,0.55,0.35,iig_effectiveness,0.07000000000000005,0.0,0.2627918914999358,0.35,0.7431957503680786,0.4708,0.3681052631578947,0.35,1.0,0,0.6922399872085196,78,7865,50,False,31,0,0.35,1.0
10,9,A,mfu_v7,0.7146,0.5490466188282213,0.55,0.38144329896907214,iig_effectiveness,0.050000000000000044,0.0,0.2652149509212435,0.35,0.7554055228342771,0.4934,0.41410526315789475,0.35,1.0,3,0.6291400684478078,78,7865,50,False,31,0,0.35,1.0
11,10,A,mfu_v7,0.7062,0.5531511190795388,0.55,0.4230769230769231,iig_effectiveness,0.030000000000000044,0.0,0.26813304730230336,0.35,0.759393983217709,0.5127,0.44642105263157894,0.35,1.0,3,0.5660401496870959,78,7865,50,False,31,0,0.35,1.0
12,11,A,mfu_v7,0.6968,0.5647324478542685,0.55,0.46956521739130436,iig_effectiveness,0.010000000000000044,0.0,0.26968470892980795,0.35,0.7746723554481487,0.5339,0.48126315789473684,0.35,1.0,1,0.5029402309263841,78,7865,50,False,31,0,0.35,1.0
13,12,A,mfu_v7,0.686,0.5705314898423876,0.55,0.5390625,iig_effectiveness,0.0,0.0,0.27073686921935675,0.35,0.7813172872514753,0.5546,0.5089473684210526,0.35,1.0,1,0.5079402309263841,78,7865,50,False,31,0,0.35,1.0
14,13,A,mfu_v7,0.6743,0.569199071056357,0.55,0.5877862595419847,iig_effectiveness,0.0,0.0,0.27294222516129196,0.35,0.7806158917697363,0.5778,0.5394736842105263,0.35,1.0,1,0.4782439474141133,78,7865,50,False,31,0,0.35,1.0
15,14,A,mfu_v7,0.6618,0.5950372117908482,0.55,0.625,iig_effectiveness,0.0,0.0,0.27403219048026745,0.35,0.8057217413576359,0.5967,0.566,0.35,1.0,2,0.48305037161234626,78,7865,50,False,31,0,0.35,1.0
16,15,A,mfu_v7,0.6485,0.5968760373507476,0.55,0.6620689655172414,iig_effectiveness,0.0,0.0,0.27427859688589284,0.35,0.7966166065310538,0.6214,0.5903157894736842,0.35,1.0,1,0.52255307932285,78,7865,50,False,31,0,0.35,1.0
17,16,A,mfu_v7,0.6342,0.608454103862853,0.55,0.7142857142857143,iig_effectiveness,0.0,0.0,0.2746847115795202,0.35,0.8068434629823964,0.6506,0.6142105263157894,0.35,1.0,2,0.5620557870333537,78,7865,50,False,31,0,0.35,1.0
18,17,A,mfu_v7,0.6195,0.6263765922576592,0.55,0.7375,iig_effectiveness,0.0,0.0,0.27505739065377266,0.35,0.8190070390223778,0.6753,0.6396842105263157,0.35,1.0,1,0.6015584947438574,78,7865,50,False,31,0,0.35,1.0
19,18,A,mfu_v7,0.6048,0.6288350836562895,0.55,0.7321428571428571,iig_effectiveness,0.0,0.0,0.2757331809633706,0.35,0.8138151607252582,0.7039,0.6643157894736842,0.35,1.0,1,0.5710840147232438,78,7865,50,False,31,0,0.35,1.0
20,19,A,mfu_v7,0.59,0.6254953908859605,0.55,0.7443181818181818,iig_effectiveness,0.0,0.0,0.27654693166450717,0.35,0.8096098862060208,0.7397,0.6904210526315789,0.35,1.0,1,0.5406095347026302,78,7865,50,False,31,0,0.35,1.0
21,20,A,mfu_v7,0.574,0.6217339115963999,0.55,0.7967032967032966,iig_effectiveness,0.0,0.0,0.2770774292473594,0.35,0.8074391518444763,0.7637,0.7135789473684211,0.35,1.0,0,0.5101350546820166,78,7865,50,False,31,0,0.35,1.0
22,21,A,mfu_v7,0.5577,0.6383726159858392,0.55,0.8162162162162162,iig_effectiveness,0.0,0.0,0.27866846242718957,0.35,0.8248257423160592,0.7874,0.7402105263157894,0.35,1.0,0,0.5151350546820166,78,7865,50,False,31,0,0.35,1.0
23,22,A,mfu_v7,0.5405,0.6503145688778569,0.55,0.8602150537634409,iig_effectiveness,0.0,0.0,0.2799879089914607,0.35,0.8291823417199116,0.8108,0.7626315789473684,0.35,1.0,0,0.5201350546820166,78,7865,50,False,31,0,0.35,1.0
24,23,A,mfu_v7,0.5226,0.657872319773672,0.55,0.893048128342246,iig_effectiveness,0.0,0.0,0.28241929689393347,0.35,0.8313465848562884,0.8163,0.7833684210526316,0.35,1.0,0,0.5251350546820166,78,7865,50,False,31,0,0.35,1.0
