year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,B,0.16466245402451793,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,18,1866
0,B,0.21484848049006394,0.3857610523700714,0.45682653263188877,0.43,0.1,0.6675993204116821,0.00988,0.6832304345443845,0.548563402026305,0.5198642969927281,0.05125512637926446,0,0,0.09416999999999999,False,0,18,1866
1,B,0.259873880347407,0.35074228048324585,0.45681539531141113,0.41,0.1,0.808221161365509,0.00936,0.5738069657236338,0.5261380132099307,0.5493772771588923,0.05119628025897919,0,0,0.076899,False,0,18,1866
2,B,0.31882565899776916,0.29631149768829346,0.45680396470754836,0.38999999999999996,0.1,0.7938355207443237,0.00848,0.42025450989603996,0.4968374753299595,0.5289510958888144,0.05036062963646368,0,0,0.0789705,False,0,18,1866
3,B,0.3741597568192294,0.21880048513412476,0.4567920681917217,0.36999999999999994,0.1,0.7765092849731445,0.00938,0.21259171143174171,0.45556529823181047,0.49786395312327275,0.04910719058299144,0,0,0.08212199999999999,False,0,18,1866
4,B,0.431569333608593,0.13105256855487823,0.4567795420078331,0.3499999999999999,0.1,0.7491075992584229,0.01126,0.0,0.41306969467873195,0.4635850607951927,0.0479622866135059,0,0,0.0864825,False,0,18,1866
5,B,0.4900129799587145,0.05371290072798729,0.45676631437729265,0.3299999999999999,0.1,0.7261711359024048,0.01596,0.0,0.3929327803784982,0.4543576665978518,0.04675512457166388,0,0,0.09132449999999999,False,0,18,1866
6,B,0.5306014726085331,0.008847758173942566,0.45675263371524544,0.3099999999999999,0.1,0.7024038434028625,0.02304,0.0,0.37743701495592324,0.44487175501032145,0.04551694745746564,0,0,0.09444299999999999,False,0,18,1866
7,B,0.574143513310441,0.0004154107009526342,0.45673870028031716,0.28999999999999987,0.1,0.6857657432556152,0.03152,0.0,0.37137896916884827,0.4398496318478668,0.04481442948459156,0,0,0.09626549999999999,False,0,18,1866
8,B,0.6305819910174275,5.629289717035135e-06,0.45672470440211965,0.26999999999999985,0.1,0.6680409908294678,0.04184,0.0,0.3658671519895701,0.4340891216723898,0.0440233075978836,0,0,0.09663,False,0,18,1866
9,B,0.6541292863133127,1.9192243598809e-06,0.4567107091212752,0.24999999999999986,0.1,0.6475852727890015,0.05226,0.0,0.35754678868713297,0.42510450224564317,0.04284529322545598,0,0,0.09663,False,0,18,1866
10,B,0.668957740264689,6.134790169198823e-07,0.4566967144375689,0.27999999999999986,0.14388250567997402,0.6329440474510193,0.06386,0.0,0.35654507405497404,0.4243426784216719,0.04265401431938787,0,0,0.09663,True,0,18,1866
11,B,0.6810883198107135,0.0,0.4566827203511188,0.30999999999999983,0.19628319105092729,0.6277697086334229,0.07598,0.0,0.35748340539771306,0.4257605649338278,0.04272430064768365,2,5,0.09663,True,0,18,1866
12,B,0.6945875771282054,0.0,0.4566687268616554,0.3399999999999998,0.29553583293782626,0.6200529932975769,0.0881,0.0,0.3590221057533174,0.42785292004732167,0.042875523202167413,8,8,0.09663,True,0,18,1866
13,B,0.7112212158702095,0.0,0.4566547339692899,0.3699999999999998,0.42599168399168397,0.6222651600837708,0.10118,0.0,0.36025627524058296,0.42960310571794874,0.04298568541753729,11,13,0.09663,True,0,18,1866
14,B,0.7254594551788652,0.0,0.45664074167348234,0.39999999999999974,0.4934247311827956,0.6196531057357788,0.11744,0.0,0.36079304479676055,0.4305696960324477,0.04300181618420081,17,17,0.09663,True,0,18,1866
15,B,0.7304169447757447,0.0,0.4566267499745156,0.4299999999999997,0.5742997416020672,0.613724410533905,0.13716,0.0,0.36186279066269983,0.43213513620528377,0.04308980892789922,23,23,0.09663,True,0,18,1866
16,B,0.7218425525356895,0.0,0.4566127588726905,0.4599999999999997,0.5953121916842847,0.6102745532989502,0.16186,0.0,0.36499750327531894,0.4360207638060639,0.04345622415698251,27,28,0.09663,True,0,18,1866
17,B,0.710381595602323,0.0,0.45659876836782143,0.48999999999999966,0.6787056676685272,0.6169785857200623,0.19456,0.0,0.3711430595324818,0.4432893618660777,0.044228595835202424,38,39,0.09663,True,0,18,1866
18,B,0.6996064578417629,6.5870818843905e-07,0.45658477845968926,0.5199999999999997,0.7211290371957753,0.6215317249298096,0.23546,0.0,0.37793097517598384,0.45127960109941934,0.0450875644482521,43,45,0.09663,True,0,18,1866
19,B,0.6860321431395202,0.0,0.4565707891477968,0.5499999999999997,0.7825397419481925,0.6275799870491028,0.28448,0.0,0.3845660983769804,0.4590983855395594,0.04592595848015023,49,51,0.09663,True,0,18,1866
20,B,0.6725298746065606,1.8616735530940787e-07,0.45655680043261126,0.5799999999999997,0.8209737289737289,0.6406430602073669,0.34284,0.0,0.39182416511469054,0.46761696421512006,0.04684832781433643,55,55,0.09663,True,0,18,1866
21,B,0.6561923183996999,0.0,0.4565428123142534,0.6099999999999998,0.8309261744966443,0.6463741064071655,0.40682,0.0,0.39906614566537046,0.47611753134836,0.047768535757477075,57,57,0.09663,True,0,18,1866
22,B,0.6385923183997005,0.0,0.45652882479288737,0.6399999999999998,0.8673333333333333,0.6581652760505676,0.476,0.0,0.4069390055844212,0.48532692040007513,0.04877380232486648,58,63,0.09663,True,0,18,1866
23,B,0.6201923183997008,7.033240763121285e-07,0.4565148378682211,0.6199999999999998,0.912,0.6702877879142761,0.54734,0.0,0.41509286468190937,0.494851920400075,0.04981694220008012,70,70,0.09663,False,0,18,1866
24,B,0.6011256517330337,4.861375941800361e-07,0.4565008515400981,0.5999999999999998,0.9453333333333334,0.6786632537841797,0.617,0.0,0.42342458563868435,0.504576920400075,0.05088408206932677,70,74,0.09663,False,0,18,1866
25,B,0.5821641297459492,2.3392438208702515e-08,0.4564868658082484,0.5799999999999997,0.9473333333333334,0.6934027671813965,0.68284,0.0,0.43190460303089023,0.5144685870667417,0.051971221932608024,75,75,0.09663,False,0,18,1866
26,B,0.5628220244827912,1.4634319995820988e-06,0.45647289856959605,0.5599999999999997,0.958,0.6976372003555298,0.7434,0.0,0.4403615092958048,0.5243339675635128,0.05305520744953905,76,76,0.09654,False,0,18,1866
27,B,0.5435331098063624,3.2818115869304165e-06,0.45645893192709375,0.5399999999999997,0.9786666666666666,0.7169428467750549,0.79588,0.0,0.44890315189233565,0.5342944938793022,0.05415061027982031,78,78,0.09654,False,0,18,1866
28,B,0.5240594255958366,5.096375389257446e-06,0.45644496587876593,0.5199999999999997,0.9826666666666666,0.7212080359458923,0.84022,0.0,0.453196708947063,0.5391167225484095,0.05472941738653819,79,79,0.09654,False,0,18,1866
29,B,0.5045915863917774,1.3114640751155093e-05,0.4564310004256109,0.49999999999999967,0.992,0.7340625524520874,0.87788,0.0,0.4575323077143872,0.5439851436010409,0.055313767573337246,79,79,0.09654,False,0,18,1866
30,B,0.4854388694224663,2.2862404875922948e-05,0.45641703556748703,0.47999999999999965,0.992,0.7474830746650696,0.90802,0.0,0.4618668653286201,0.5488521034020557,0.05589794240399057,79,79,0.09654,False,0,18,1866
31,B,0.4668357453568057,3.1128438422456384e-05,0.4564030713049443,0.45999999999999963,0.992,0.748619794845581,0.93282,0.0,0.466131085922014,0.5536402826443835,0.05647266356165114,79,79,0.09654,False,0,18,1866
32,B,0.448414692725227,5.585243343375623e-05,0.4563891076368787,0.4399999999999996,0.992,0.7577080726623535,0.95164,0.0,0.4702754907246508,0.5582910636607986,0.05703089692624638,79,79,0.09654,False,0,18,1866
33,B,0.430151424927777,7.643786375410855e-05,0.4563751445643378,0.4199999999999996,0.992,0.7695375084877014,0.96518,0.0,0.47437876378448973,0.5628963268186933,0.05758366814187441,79,79,0.09654,False,0,18,1866
34,B,0.411993530190935,0.00010559662041487172,0.45636118208653453,0.3999999999999996,0.992,0.7735505700111389,0.97538,0.0,0.47844821565374585,0.5674621437680558,0.05813170580652331,79,79,0.09654,False,0,18,1866
35,B,0.3938356354540926,0.00017411456792615354,0.4563472202036669,0.37999999999999956,0.992,0.7850403189659119,0.98352,0.0,0.48250012583169016,0.5720016174522663,0.05867658227340661,79,79,0.09654,False,0,18,1866
36,B,0.37567774071725074,0.00027676625177264214,0.456333258915987,0.35999999999999954,0.992,0.7984554767608643,0.98922,0.0,0.48655715600610405,0.5765410911364769,0.05922145873434055,79,79,0.09654,False,0,18,1866
37,B,0.3576004739128395,0.0004178545786999166,0.4563192982229929,0.3399999999999995,0.992,0.7949633002281189,0.99278,0.0,0.4906199516130475,0.5810805648206874,0.05976633518932262,79,79,0.09654,False,0,18,1866
38,B,0.3400806941522591,0.0006584611255675554,0.4563053381251907,0.3199999999999995,0.992,0.8101667165756226,0.99522,0.0,0.49467973517403685,0.5855998815217902,0.06030879280038489,79,79,0.09654,False,0,18,1866
39,B,0.32271227309962747,0.0010146301938220859,0.45629137862193114,0.2999999999999995,0.992,0.8149685263633728,0.99686,0.0,0.4986328121820636,0.5899798264619353,0.06083452579418032,79,79,0.09649949999999999,False,0,18,1866
40,B,0.305343852046996,0.001501132850535214,0.45627741971363456,0.27999999999999947,0.992,0.8260664939880371,0.99784,0.0,0.5025717618518852,0.5943219317250932,0.061355718020791865,79,79,0.09649949999999999,False,0,18,1866
41,B,0.288438384816173,0.0021294092293828726,0.45626347777708864,0.25999999999999945,0.992,0.8351173996925354,0.99858,0.0,0.5065319758783897,0.598664036988251,0.06187691024145378,79,79,0.09645899999999999,False,0,18,1866
42,B,0.2720174184044883,0.003180556232109666,0.45624953643347954,0.23999999999999946,0.992,0.830184280872345,0.99912,0.0,0.5104526130865419,0.6028904037959568,0.06238421367774393,79,79,0.09645899999999999,False,0,18,1866
43,B,0.2563194712261304,0.004551230929791927,0.45623559568356864,0.21999999999999947,0.992,0.8429286479949951,0.99938,0.0,0.5143133779528621,0.606995645398878,0.06287698208353056,79,79,0.09641849999999999,False,0,18,1866
44,B,0.24080823654676078,0.00642363540828228,0.4562216697785737,0.19999999999999948,0.992,0.8495491147041321,0.99972,0.0,0.5180885290179442,0.6109201321934674,0.0633480599063804,79,79,0.09633749999999999,False,0,18,1866
45,B,0.22555602998620883,0.009305735118687153,0.45620774446647117,0.1799999999999995,0.992,0.8652130961418152,0.9998,0.0,0.5219735906661623,0.6147979408633099,0.06381353620581144,79,79,0.096297,False,0,18,1866
46,B,0.2107922406959511,0.013128338381648064,0.45619385055979245,0.1599999999999995,0.992,0.58,0.9999,0.0,0.525942090945838,0.6186109925034478,0.06427124165574902,79,79,0.09617549999999998,False,0,18,1866
47,B,0.19611819348377313,0.018310366198420525,0.45617997706274904,0.1399999999999995,0.992,0.58,0.99992,0.0,0.5300058297894407,0.6223019398260122,0.06471429427352354,79,79,0.09601349999999999,False,0,18,1866
48,B,0.18174957523076515,0.025503117591142654,0.45616612831902525,0.11999999999999951,0.992,0.58,0.99998,0.0,0.5343512069286587,0.6259704516290567,0.06515465442485932,79,79,0.095811,False,0,18,1866
49,B,0.16753904891497579,0.035227220505476,0.4561523307897928,0.0999999999999995,0.992,0.58,0.99998,0.0,0.5390083235456042,0.6295626061923087,0.0655858514598868,79,79,0.095487,False,0,18,1866
