year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,B,0.16805431599962506,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,10,1066
0,B,0.2173541189782311,0.3853411078453064,0.41539974728982454,0.43,0.1,0.6661428809165955,0.0096,0.6801156168803573,0.5515769178259327,0.5189722373238509,0.051153370520011246,0,0,0.09416999999999999,False,0,10,1066
1,B,0.2583947039218386,0.34607890248298645,0.415387612107162,0.41,0.1,0.8066314458847046,0.00892,0.5625113490968943,0.5282049194940911,0.5481583264382559,0.05153537895775482,0,0,0.07317749999999999,False,0,10,1066
2,B,0.30389157897531954,0.28929415345191956,0.4153750993165204,0.38999999999999996,0.1,0.7968482971191406,0.00824,0.4061200022697449,0.4991541345996976,0.5274415412403236,0.05081928276127322,0,0,0.07545899999999998,False,0,10,1066
3,B,0.3530513778402459,0.2159370630979538,0.41536203744000955,0.36999999999999994,0.1,0.7754303812980652,0.00922,0.20902177318930626,0.46255534347274024,0.49957756447717555,0.04996950163757521,0,0,0.07870949999999999,False,0,10,1066
4,B,0.40876002305222403,0.1339792013168335,0.41534829091432424,0.3499999999999999,0.1,0.7601091861724854,0.0112,0.0,0.4226591542558379,0.4688621555399386,0.04900983829039253,0,0,0.08284799999999999,False,0,10,1066
5,B,0.4475167438299333,0.05902309715747833,0.41533379279371374,0.3299999999999999,0.1,0.7398982048034668,0.0152,0.0,0.40325836798327314,0.46005999423694405,0.047853716399290036,0,0,0.08742299999999999,False,0,10,1066
6,B,0.4947646679065466,0.01326682697981596,0.4153188029484054,0.3099999999999999,0.1,0.7215725779533386,0.0217,0.0,0.39200941480401885,0.4554958140425167,0.04720615975716487,0,0,0.0904605,False,0,10,1066
7,B,0.530528494514374,0.0009440878056921065,0.41530350361639545,0.28999999999999987,0.1,0.7047104239463806,0.03006,0.0,0.3838862331778946,0.4488088330233634,0.04630387193331955,0,0,0.09232349999999999,False,0,10,1066
8,B,0.5746331286575085,4.726077531813644e-05,0.4152881144816627,0.26999999999999985,0.1,0.6858481764793396,0.03988,0.0,0.3800321613615603,0.44499287637140655,0.04574611012840482,1,1,0.09280949999999998,False,0,10,1066
