year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,C,0.6550928040317728,0.22019369662693836,0.6180217678749964,0.0,0.05,0.45,0.2565811608340338,0.4089801593621032,0.5746553728616509,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,39,3967,50,False
0,C,0.7296325991853263,0.19915438387595058,0.9999996410084566,0.0,0.05,0.445,0.2644056072643768,0.405192677401302,0.576320939334638,0,0.0,0.2065,0.9997,0,0,0.48250000000000004,0.26395787356438694,0,0.0,0.11252239035341523,0,39,3967,50,False
1,C,0.8049531530649287,0.2896798879162101,0.9999997219594438,0.0,0.05,0.44,0.2705397361552502,0.39970173479570476,0.5869390381212803,0,0.0,0.1626,0.9981,0,0,0.46675,0.2576187960166587,0,0.0,0.10331653011600929,0,39,3967,50,False
2,C,0.868294035683863,0.3515364306348042,0.9999991941026296,0.0,0.05,0.435,0.2754943964044046,0.3956385526505077,0.59284470476492,0,0.0,0.1038,0.9978,0,0,0.4826607229771286,0.2501175826753723,0,0.0,0.08080968887424606,0,39,3967,50,False
3,C,0.9115413042294825,0.39347799649756415,0.9999997820276009,0.0,0.05,0.43,0.28021586481910327,0.3898241104715269,0.5986842105263158,0,0.0,0.0689,0.9974,0,0,0.49402322906111845,0.24326542197662485,1,0.0,0.05122003201313352,0,39,3967,50,False
4,C,0.9361835316200428,0.4213947147751716,0.9999997986795393,0.0,0.05,0.425,0.2836342130850215,0.38568549253249895,0.60489998449372,0,0.0,0.0471,0.9945,4,0,0.5022019833199115,0.23867029220639394,5,0.0,0.008586636328042276,0,39,3967,50,False
5,C,0.945399835285793,0.4469391603243924,0.999999449060559,0.0,0.05,0.42,0.28670345139813164,0.38007555543458965,0.6074450084602369,0,0.0,0.0305,0.9916,7,0,0.5081521113010665,0.23828329751370028,11,0.0,0.0,0,39,3967,50,False
6,C,0.9483963452643343,0.4633705212521793,0.9999995181383117,0.0,0.05,0.415,0.28930870870417874,0.3771101119246636,0.6106626047220106,0,0.0,0.023,0.9899,23,0,0.5144628230121596,0.24008684803562685,31,0.0,0.0,0,39,3967,50,False
7,C,0.9485729837815358,0.47338490132503264,0.9999998551399624,0.0,0.05,0.41,0.2925414109627432,0.3730250200849504,0.6129764065335753,0,0.0,0.0201,0.9866,51,0,0.5191053212099247,0.2419341280817209,58,0.0,0.0,0,39,3967,50,False
8,C,0.9490337750754454,0.47888224937111296,0.9999997482972379,0.0,0.05,0.40499999999999997,0.2947950170702786,0.37051456033344693,0.6166942895886696,0,0.0,0.0126,0.9811,69,0,0.5225800699483604,0.24478180444196349,84,0.0,0.0,0,39,3967,50,False
