year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,B,0.6603467142838133,0.22079110919537587,0.619255587136161,0.0,0.05,0.45,0.2564858941213741,0.40842998288622345,0.579926273458445,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,13,1366,50,False
0,B,0.7249866693735525,0.21455377643676396,1.0,0.0,0.1,0.43,0.2626819024621552,0.40410523780535007,0.5877049180327869,0,0.0,0.2054,0.9954,0,0,0.48250000000000004,0.26569857612073566,0,0.0,0.10485615117957663,0,13,1366,50,False
1,B,0.7865318122315873,0.3086772777594838,1.0,0.0,0.1,0.41,0.26919481419962965,0.3948217554239232,0.6017741935483871,0,0.0,0.1555,0.994,0,0,0.48275000000000007,0.26208994055257123,0,0.0,0.08612429488979,0,13,1366,50,False
2,B,0.8367431692769363,0.37366372868538617,1.0,0.0,0.1,0.38999999999999996,0.27454437802569814,0.38766959921473526,0.6075728770595691,0,0.0,0.1049,0.9897,0,0,0.5046974085634374,0.2575189028700681,0,0.0,0.06550188393705425,0,13,1366,50,False
3,B,0.8743333130593566,0.4182542443335236,1.0,0.0,0.1,0.36999999999999994,0.27965745763234906,0.38097089978231674,0.6144578313253012,0,0.0,0.0716,0.9879,2,0,0.5222355945578436,0.25197045176874555,2,0.0,0.059429156530177454,0,13,1366,50,False
4,B,0.8989083786131981,0.4485676052872148,1.0,0.0,0.1,0.3499999999999999,0.2835551325450923,0.3742889230147539,0.6183559950556242,0,0.0,0.0458,0.9867,5,0,0.5366873247539279,0.2493036002698572,5,0.0,0.020433664569649262,0,13,1366,50,False
5,B,0.9192340420794421,0.45708812203428933,1.0,0.0,0.16698829770635043,0.3299999999999999,0.28694172042604216,0.36623545063596197,0.6219530890694466,0,0.0,0.0334,0.9805,5,0,0.548978535891187,0.2452241834523342,18,0.0,0.0,0,13,1366,50,False
6,B,0.9291972850764434,0.46215248375724305,1.0,0.0,0.22061245969684612,0.3099999999999999,0.2894610574125027,0.35865289429918973,0.624638783269962,0,0.0,0.0249,0.9768,32,0,0.5668559193630935,0.24184104888261382,32,0.0,0.0,0,13,1366,50,False
7,B,0.948137187403487,0.4647975369633105,1.0,0.0,0.3923731343283582,0.28999999999999987,0.29221815028702547,0.3514720651516664,0.6299034399517199,0,0.0,0.0171,0.9731,50,0,0.5825549408328358,0.24125593127119999,56,0.0,0.0,0,13,1366,50,False
8,B,0.9560362980477549,0.46574907420755807,1.0,0.0,0.468994990824778,0.26999999999999985,0.29491053310412585,0.345332870962701,0.6328031212484994,0,0.0,0.013,0.9612,56,0,0.6158528200473802,0.2399725597000178,82,0.0,0.0,0,13,1366,50,False
9,B,0.9571717060285527,0.4706780476783988,1.0,0.0,0.5324832766439909,0.24999999999999986,0.2968581499142674,0.3401293711018936,0.634077380952381,0,0.0,0.0094,0.9517,97,0,0.6347947431357155,0.24113211519223332,104,0.0,0.0,0,13,1366,50,False
10,B,0.9472771457534649,0.47322832910798623,1.0,0.0,0.6446577181208053,0.22999999999999987,0.29910579456855435,0.3343349825232357,0.6363097882422627,0,0.0,0.0062,0.9365,117,0,0.652997761588274,0.24074215944177832,126,0.0,0.0,0,13,1366,50,False
11,B,0.9334392788088739,0.4741135261086964,1.0,0.0,0.7269988487220815,0.20999999999999988,0.30075409165920947,0.33016035891290507,0.6388235294117647,0,0.0,0.0059,0.9188000000000001,139,0,0.6780747707155701,0.24430608019071517,155,0.0,0.0,0,13,1366,50,False
12,B,0.9184147331492537,0.47383316400919256,1.0,0.0,0.7982113003095975,0.1899999999999999,0.30301630749752934,0.3250523491143688,0.6420944858856223,0,0.0,0.0056,0.9168000000000001,163,0,0.6983765303398033,0.24958830875412036,181,0.0,0.0,0,13,1366,50,False
13,B,0.9011876226925225,0.5007314591605003,1.0,0.0,0.8880912052117262,0.1699999999999999,0.3045936437750353,0.3195261082852779,0.6465028355387523,0,0.0,0.0039,0.9042,182,0,0.7167988111017598,0.2606884401813715,193,0.0,0.0,0,13,1366,50,False
14,B,0.884423480291256,0.518660265766412,1.0,0.0,0.9364805194805195,0.1499999999999999,0.30641634425662423,0.31443367195703864,0.6501956238226344,0,0.0,0.0032,0.8886000000000001,201,0,0.7448727231089991,0.271615684672705,212,0.0,0.0,0,13,1366,50,False
15,B,0.8659272396897537,0.5303104303905548,1.0,0.0,0.9517402597402597,0.12999999999999992,0.30784677112332265,0.3096781645273665,0.6523431867339582,0,0.0,0.003,0.873,215,0,0.7645204686396619,0.2817119175560582,215,0.0,0.0,0,13,1366,50,False
16,B,0.8472361938934438,0.5375655456274497,1.0,0.0,0.9637532467532466,0.10999999999999992,0.3094135958025327,0.3062022432652347,0.6553850566470673,0,0.0,0.0028,0.8653,218,0,0.7776569735518637,0.2890749066718532,219,0.0,0.0,0,13,1366,50,False
17,B,0.8274309990882492,0.5178803465175479,1.0,0.0,0.9731688311688311,0.08999999999999991,0.31123891204667586,0.30250152821640114,0.6557867730900798,0,0.0,0.0022,0.8546,222,0,0.7892272023150803,0.29191256439337654,224,0.0,0.0,0,13,1366,50,False
18,B,0.8097310674409497,0.5032007071406166,1.0,0.0,0.9822597402597402,0.06999999999999991,0.3132089143405127,0.29873965131385527,0.6575792178133029,0,0.0,0.002,0.8466,224,0,0.7936863915313734,0.2940880717539648,224,0.0,0.0,0,13,1366,50,False
19,B,0.78986093757082,0.49202495957676723,1.0,0.0,0.9855064935064934,0.049999999999999906,0.313222668687116,0.2965909765802835,0.659,0,0.0,0.0019,0.8284,225,0,0.7993578239827787,0.29797803016175506,225,0.0,0.0,0,13,1366,50,False
20,B,0.7703872533602929,0.4833019362820695,1.0,0.0,0.9874545454545454,0.029999999999999905,0.3132226686871149,0.2949104729442315,0.6603746603746604,0,0.0,0.0016,0.8172,225,0,0.8050352942312298,0.303480313049991,225,0.0,0.0,0,13,1366,50,False
21,B,0.7509135691497669,0.49208473963197047,1.0,0.0,0.992,0.009999999999999905,0.3132226686871134,0.29337544145514083,0.6632755409084397,0,0.0,0.0015,0.8023,227,0,0.8111358221064444,0.3117142814477326,227,0.0,0.0,0,13,1366,50,False
22,B,0.7311767270445039,0.49733270197689683,1.0,0.0,0.992,0.0,0.3132226686871148,0.2928169284587535,0.6661884951943767,0,0.0,0.001,0.792,227,0,0.8220056942604137,0.32023701529263005,227,0.0,0.0,0,13,1366,50,False
23,B,0.7122293586234507,0.5001062756183475,1.0,0.0,0.992,0.0,0.3132226686871155,0.29364498048739224,0.6665228024744642,0,0.0,0.0013,0.7877000000000001,227,0,0.8273123320409195,0.32882857157620704,227,0.0,0.0,0,13,1366,50,False
24,B,0.6930188323076616,0.501147777167361,1.0,0.013157894736842105,0.992,0.0,0.31322266868711485,0.29301928845982816,0.6668108419838523,0,0.0,0.0008,0.7739,227,0,0.8280019784872736,0.3351771118105811,227,0.0,0.0,0,13,1366,50,False
25,B,0.6735451480971352,0.5216037857253508,1.0,0.013157894736842105,0.992,0.0,0.31322266868711607,0.29455143272940676,0.6669553919445648,0,0.0,0.0008,0.7676000000000001,227,0,0.8282597309997215,0.34522657464459516,227,0.0,0.0,0,13,1366,50,False
26,B,0.6551240954655564,0.535022991715945,1.0,0.013157894736842105,0.992,0.0,0.31322266868711557,0.2938717730858332,0.6665703136291372,0,0.0,0.0015,0.7588,227,0,0.8333718971268549,0.3539526719662822,227,0.0,0.0,0,13,1366,50,False
27,B,0.6351240954655563,0.5435164359093608,1.0,0.02631578947368421,0.992,0.0,0.3132226686871161,0.2944573323097365,0.6662807525325615,0,0.0,0.0008,0.7513,227,0,0.8367254134158482,0.3604122055655905,227,0.0,0.0,0,13,1366,50,False
28,B,0.6153872533602932,0.5485618468447526,1.0,0.039473684210526314,0.992,0.0,0.31322266868711485,0.2953013636407965,0.6666183294663574,0,0.0,0.0012,0.7343999999999999,227,0,0.8388478748181436,0.36682795056867323,227,0.0,0.0,0,13,1366,50,False
29,B,0.5961767270445034,0.552177742578917,1.0,0.05263157894736842,0.992,0.0,0.3132226686871149,0.29521562076352603,0.6659407665505227,0,0.0,0.0009,0.7312000000000001,227,0,0.8401085977997502,0.3737377062001189,227,0.0,0.0,0,13,1366,50,False
30,B,0.5767030428339774,0.5538088695928212,1.0,0.07894736842105263,0.992,0.0,0.31322266868711435,0.29787807766639673,0.6667636363636363,0,0.0,0.0012,0.7202,227,0,0.8410121309067218,0.3789164483933817,227,0.0,0.0,0,13,1366,50,False
31,B,0.5577556744129248,0.5540506585025652,1.0,0.07894736842105263,0.992,0.0,0.3132226686871158,0.2988899356561091,0.6657933042212518,0,0.0,0.0003,0.7083999999999999,227,0,0.8414196040816018,0.38676447691119975,227,0.0,0.0,0,13,1366,50,False
32,B,0.5388083059918719,0.553319910739383,1.0,0.09210526315789473,0.992,0.0,0.31322266868711346,0.3005782624703764,0.6655484247374562,0,1.0082914312004543,0.001,0.7009000000000001,227,1,0.8414798353040178,0.39203363873681385,227,165982.40861310932,0.0,0,13,1366,50,False
33,B,0.5195977796760826,0.5468774441320985,1.0,0.13157894736842105,0.992,0.0,0.31322266868711507,0.3009755942949941,0.6655454811348347,0,22.269646639966865,0.0006,0.6971,227,4,0.8412969971597091,0.3965756037230025,227,4008612.7555131908,0.0,0,13,1366,50,False
34,B,0.49986093757081956,0.541467717507004,1.0,0.13157894736842105,0.992,0.0,0.3132226686871156,0.3024195373023019,0.6660803283494576,0,94.146006583536,0.0005,0.6866,227,6,0.8396862746654297,0.4010641171052206,227,5290427.518131441,0.0,0,13,1366,50,False
35,B,0.4803872533602931,0.5367809088694371,1.0,0.15789473684210525,0.992,0.0,0.3132226686871162,0.3046000123577116,0.666030814380044,0,182.3180717414572,0.0004,0.6820999999999999,227,8,0.8383337689194339,0.40761427743409284,227,2767758.5765202213,0.0,0,13,1366,50,False
36,B,0.46091356914976683,0.5326001428231354,1.0,0.15789473684210525,0.992,0.0,0.31322266868711657,0.30787445623816934,0.6654422568322069,0,270.4901368993784,0.0008,0.6673,227,8,0.837162014897237,0.41397103757765796,227,0.0,0.0,0,13,1366,50,False
37,B,0.4414398849392401,0.5207471559087297,1.0,0.15789473684210525,0.992,0.0,0.31322266868711507,0.3094258694950485,0.6661760376803062,0,433.3924827806203,0.0003,0.6645,227,15,0.836116787081699,0.41638649513651516,227,12593466.901616272,0.0,0,13,1366,50,False
38,B,0.42196620072871377,0.5115500650686451,1.0,0.18421052631578946,0.992,0.0,0.3132226686871163,0.31145970214519947,0.6649476941211139,0,650.170714987706,0.0002,0.6561,227,22,0.8331535149403235,0.42245607018878206,227,11251583.001730364,0.0,0,13,1366,50,False
39,B,0.40249251651818746,0.5042121014805884,1.0,0.21052631578947367,0.992,0.0,0.3132226686871142,0.31231612473028325,0.6652392203189604,0,931.8294860178565,0.0002,0.6483,227,25,0.8308542244413606,0.42572677988298013,227,9459202.298560616,0.0,0,13,1366,50,False
40,B,0.3827556744129246,0.4981755269689507,1.0,0.4868421052631579,0.992,0.0,0.3132226686871153,0.31334699729421145,0.6650887573964497,0,1281.897013768547,0.0002,0.6428,227,31,0.8290197210920864,0.43223421475741775,227,13549687.992497765,0.0,0,13,1366,50,False
41,B,0.36328199020239826,0.5075009255422388,1.0,0.7631578947368421,0.992,0.0,0.3132226686871146,0.3128885104064792,0.6652837457401096,0,1646.55966136258,0.0002,0.6407,227,32,0.8275105687475948,0.44098182053054236,227,2905023.96866854,0.0,0,13,1366,50,False
42,B,0.3440714638866089,0.5131287045435403,1.0,0.9210526315789473,0.992,0.0,0.3132226686871147,0.31652983157541786,0.6630080094927321,0,2039.886854054079,0.0001,0.6327,227,34,0.8298419122893099,0.44846506592176627,227,5698950.811915767,0.0,0,13,1366,50,False
43,B,0.32591356914976677,0.5161681498444523,1.0,0.9473684210526315,0.992,0.0,0.31322266868711607,0.31710729381643055,0.6621561338289963,0,2473.6550499948094,0.0003,0.6267,227,36,0.8312488527685105,0.4508102494083238,227,7266215.216985033,0.0,0,13,1366,50,False
44,B,0.3064398849392403,0.5173957615550938,1.0,0.9736842105263158,0.992,0.0,0.3132226686871149,0.3195092618056715,0.6610548271752086,0,3001.0469453241253,0.0003,0.6196999999999999,227,40,0.8320087111039509,0.4558848415125508,227,13966268.016346784,0.0,0,13,1366,50,False
45,B,0.2878045985554948,0.511907300651138,1.0,0.9868421052631579,0.992,0.0,0.3132226686871165,0.31989012185950044,0.6601970737533592,0,3605.0031366689686,0.0001,0.6183000000000001,227,42,0.8323156119387594,0.4586377762528082,227,12513554.451520676,0.0,0,13,1366,50,False
46,B,0.269120388029179,0.5071653780183714,1.0,1.0,0.992,0.0,0.31322266868711635,0.3221046619809418,0.6595871971283278,0,4301.242109717376,0.0003,0.6124,227,45,0.830943495247775,0.4623422073201795,227,17235576.89411342,0.0,0,13,1366,50,False
47,B,0.24990986171338953,0.5029460321754351,1.0,1.0,0.992,0.0,0.31322266868711496,0.32781362278682036,0.6581273408239701,0,5096.868176036786,0.0,0.6083000000000001,227,46,0.8297580135640861,0.46560735638180994,227,17191864.525768664,0.0,0,13,1366,50,False
48,B,0.2306626077769065,0.49909249008537837,1.0,1.0,0.992,0.0,0.3132226686871151,0.3294247436655636,0.6565595917142,0,5993.501473308503,0.0,0.6042000000000001,227,49,0.8287031763855037,0.4678939208909243,227,18565955.22429251,0.0,0,13,1366,50,False
49,B,0.21331046347328636,0.510077865511753,1.0,1.0,0.992,0.0,0.31322266868711607,0.3345271795745652,0.653828794945088,0,7008.545746368477,0.0001,0.6011,227,50,0.8277397903604962,0.4731969163502351,227,21401806.92807331,0.0,0,13,1366,50,False
