year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,B,0.641366645374772,0.22054206915633734,0.6192798363744281,0.0,0.05,0.45,0.2562140170873733,0.4103928020513811,0.5962251432423323,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,63,6366,50,False
0,B,0.7036382001021304,0.2143794484094366,0.9999992876961843,0.0,0.1,0.43,0.2633632574805816,0.4049137434157896,0.6001650165016502,0,0.0,0.2042,0.9992,0,0,0.48250000000000004,0.2737033673047735,0,0.0,0.09479442912019083,0,63,6366,50,False
1,B,0.759879480248308,0.314368848213063,1.0,0.0,0.1,0.41,0.2699854239868309,0.3970726718817254,0.6099302287846828,0,0.0,0.1539,0.9941,0,0,0.48275000000000007,0.27053917647476533,0,0.0,0.04264927608206501,0,63,6366,50,False
2,B,0.8226015856720845,0.3834614280756029,1.0,0.0,0.1,0.38999999999999996,0.2751629982197872,0.3907944325775048,0.617201212701452,0,0.0,0.0992,0.989,0,0,0.5061508085816147,0.2669798449935342,0,0.0,0.02587851792566829,0,63,6366,50,False
3,B,0.8737636809269272,0.43092623397938057,1.0,0.0,0.1,0.36999999999999994,0.2803929527249489,0.3850078327400169,0.6239154440763527,0,0.0,0.0684,0.986,0,0,0.5247063745887448,0.25920191335274023,0,0.0,0.016427670173830622,0,63,6366,50,False
4,B,0.9071337582046524,0.4632515981120242,1.0,0.0,0.1,0.3499999999999999,0.28400606098906683,0.3801241427050001,0.6268307884076036,0,0.0,0.0472,0.9822,1,0,0.539870270793736,0.2534486194096035,3,0.0,0.0019290817334345171,0,63,6366,50,False
5,B,0.9271904718584246,0.48132826303072984,1.0,0.0,0.14123414401525988,0.3299999999999999,0.2874629044918919,0.3740954229366606,0.6312133374498302,0,0.0,0.0345,0.9765,11,0,0.5526599981372298,0.24864395913196918,12,0.0,0.0,0,63,6366,50,False
6,B,0.9436647922232604,0.4930819284738234,1.0,0.0,0.23018396226415094,0.3099999999999999,0.29023282475904383,0.36808548928502305,0.634123947972456,0,0.0,0.0257,0.9741,28,0,0.569060156386428,0.24683174077622363,28,0.0,0.0,0,63,6366,50,False
7,B,0.95642594456133,0.5004094942839906,1.0,0.0,0.35392533953083005,0.28999999999999987,0.29298260390369313,0.363321384756169,0.6396656534954407,0,0.0,0.0151,0.9644,41,0,0.591728154776598,0.2447092011204072,48,0.0,0.0,0,63,6366,50,False
8,B,0.9638203609980808,0.5046387903511025,1.0,0.0,0.48448251748251747,0.26999999999999985,0.29530053939389184,0.3571280879907392,0.6437735849056604,0,0.0,0.0116,0.9532,69,0,0.6189922293235856,0.2450376891276835,85,0.0,0.0,0,63,6366,50,False
9,B,0.9519718808712236,0.5121005074916893,1.0,0.0,0.5936749979843585,0.24999999999999986,0.29761731841236044,0.3507902692118227,0.6478260869565218,0,0.0,0.0095,0.9396,98,0,0.6468428135862285,0.2462519493136289,118,0.0,0.0,0,63,6366,50,False
10,B,0.9380789898017585,0.516423709490101,1.0,0.0,0.661564349319171,0.22999999999999987,0.29967870651273276,0.34360381840130644,0.6494569260526707,0,0.0,0.0068,0.9291,123,0,0.6725338934338285,0.25287771625606925,143,0.0,0.0,0,63,6366,50,False
11,B,0.9231802682344338,0.5185499508889856,1.0,0.0,0.7762271293375393,0.20999999999999988,0.3020914808256398,0.3385055109258716,0.6525336091003102,0,0.0,0.0064,0.9037,162,0,0.6914108415746772,0.2577800923558614,170,0.0,0.0,0,63,6366,50,False
12,B,0.9067565591193744,0.5191383198682051,1.0,0.0,0.8481514195583597,0.1899999999999999,0.3045912855066178,0.3328140082922854,0.6546520146520146,0,0.0,0.0044,0.8939,174,0,0.7168707403858714,0.2633490895932781,184,0.0,0.0,0,63,6366,50,False
13,B,0.8895126607298675,0.5120115993890484,1.0,0.0,0.8913690851735014,0.1699999999999999,0.3072270557584023,0.327998282793912,0.6574762946754193,0,0.0,0.0036,0.881,194,0,0.7356167211849016,0.26745246197579486,199,0.0,0.0,0,63,6366,50,False
14,B,0.8709853487590892,0.5061228950536307,1.0,0.0,0.9292239747634068,0.1499999999999999,0.3089830842211323,0.3234574309357852,0.6595065312046444,0,0.0,0.0024,0.8674,206,0,0.7481848624221532,0.27298705457159167,212,0.0,0.0,0,63,6366,50,False
15,B,0.8518163299976743,0.5011008020188403,1.0,0.0,0.9614006309148264,0.12999999999999992,0.31086665996664725,0.3200499211685291,0.6609949531362653,0,0.0,0.0039,0.8617,212,0,0.7602979398371253,0.2779260796410641,218,0.0,0.0,0,63,6366,50,False
16,B,0.8326581032003972,0.4966853368944864,1.0,0.0,0.9762271293375393,0.10999999999999992,0.3127912126815015,0.3168870557732147,0.6636050516647531,0,0.0,0.0028,0.8481,218,0,0.7718038290433786,0.28336895932352424,221,0.0,0.0,0,63,6366,50,False
17,B,0.8135737598499072,0.5023103004862163,1.0,0.0,0.9856908517350158,0.08999999999999991,0.3145189457765257,0.31461307512247344,0.6668096054888508,0,0.0,0.002,0.8271,221,0,0.7808783773552639,0.29115537104473543,222,0.0,0.0,0,63,6366,50,False
18,B,0.7939000092272939,0.5053477750004287,1.0,0.0,0.9866372239747634,0.06999999999999991,0.3159772718066703,0.3123386162090373,0.6674295522815048,0,0.0,0.0023,0.8219,224,0,0.7916722844935143,0.29905112074016493,225,0.0,0.0,0,63,6366,50,False
19,B,0.7739631007099443,0.5065740071603695,1.0,0.0,0.9888454258675078,0.049999999999999906,0.31599290550992104,0.3119068164010665,0.6706320768238498,0,0.0,0.0024,0.8107,225,0,0.8005512844745166,0.3052108868080279,225,0.0,0.0,0,63,6366,50,False
20,B,0.7547525743941543,0.5065323696723365,1.0,0.0,0.9897917981072555,0.029999999999999905,0.3159929055099202,0.3096591839187794,0.6737008326155614,0,0.0,0.0021,0.7931,226,0,0.8091734456599565,0.313126744951123,226,0.0,0.0,0,63,6366,50,False
21,B,0.7347525743941538,0.5010684839045048,1.0,0.0,0.992,0.009999999999999905,0.31599290550991777,0.3085482274090139,0.6762507188039103,0,0.0,0.0014,0.7878000000000001,226,0,0.8172940531269884,0.32010934670993074,226,0.0,0.0,0,63,6366,50,False
22,B,0.7158052059731018,0.4963437638670227,1.0,0.0,0.992,0.0,0.3159929055099187,0.30623374072331344,0.6779441405125252,0,0.0,0.0009,0.766,226,0,0.8242516546710972,0.3270497526081222,226,0.0,0.0,0,63,6366,50,False
23,B,0.6963315217625755,0.49213645984078436,1.0,0.013157894736842105,0.992,0.0,0.31599290550991893,0.3052007566692483,0.6780614452617915,0,0.0,0.0017,0.7581,226,0,0.8270651145532353,0.33298229532860657,226,0.0,0.0,0,63,6366,50,False
24,B,0.6768578375520494,0.4882913470224148,1.0,0.013157894736842105,0.992,0.0,0.3159929055099189,0.30500055708722495,0.6775964177379749,0,0.0,0.0015,0.749,226,0,0.8260095364707318,0.33754439424050886,226,0.0,0.0,0,63,6366,50,False
25,B,0.6576473112362594,0.4933011941776453,1.0,0.013157894736842105,0.992,0.0,0.3159929055099188,0.3067745580586033,0.6776153957459123,0,0.0,0.0007,0.7378,226,0,0.8250456318129793,0.34325089911002704,226,0.0,0.0,0,63,6366,50,False
26,B,0.6381736270257334,0.49590808718630874,1.0,0.013157894736842105,0.992,0.0,0.3159929055099197,0.30796667348356666,0.6770033328503116,0,0.0,0.0006,0.7222999999999999,226,0,0.8262962550845747,0.3502164921952956,226,0.0,0.0,0,63,6366,50,False
27,B,0.618699942815207,0.4968329122923735,1.0,0.013157894736842105,0.992,0.0,0.3159929055099187,0.30978328851836956,0.6767354051699099,0,0.0,0.0007,0.7170000000000001,226,0,0.8269466913746912,0.35609807042530406,226,0.0,0.0,0,63,6366,50,False
28,B,0.5994894164994177,0.4965802898666156,1.0,0.05263157894736842,0.992,0.0,0.31599290550992043,0.311515312152246,0.6767059508220573,0,0.0,0.0006,0.7033,226,0,0.8271769967777729,0.36163673976893573,226,0.0,0.0,0,63,6366,50,False
29,B,0.5800157322888916,0.5180594158197681,1.0,0.06578947368421052,0.992,0.0,0.3159929055099202,0.3131898589541468,0.6757937663850859,0,0.0,0.0006,0.6987,226,0,0.8271132105599301,0.37225253661973645,226,0.0,0.0,0,63,6366,50,False
30,B,0.5602788901836281,0.5321948039869719,1.0,0.06578947368421052,0.992,0.0,0.3159929055099191,0.31325339260130736,0.6758570386579139,0,0.0,0.0005,0.6885,226,0,0.8324825506202347,0.3806947020498751,226,0.0,0.0,0,63,6366,50,False
31,B,0.5402788901836282,0.5411895757040127,1.0,0.07894736842105263,0.992,0.0,0.3159929055099189,0.3136290224039048,0.6752373995617239,0,0.0,0.0011,0.6785,226,0,0.8360160886624479,0.38892227374154253,226,0.0,0.0,0,63,6366,50,False
32,B,0.5210683638678385,0.5465859159059436,1.0,0.09210526315789473,0.992,0.0,0.3159929055099187,0.31381221765228595,0.6756914971462022,0,38.22321308106537,0.0013,0.6646000000000001,226,3,0.8382645652919971,0.3955617715809332,226,7738481.516025603,0.0,0,63,6366,50,False
33,B,0.5013315217625752,0.538694732118506,1.0,0.10526315789473684,0.992,0.0,0.315992905509919,0.3148787453538897,0.674282366725249,0,115.81142372354198,0.0004,0.6569,226,6,0.8396134989326816,0.4012611032183625,226,8274589.846566359,0.0,0,63,6366,50,False
34,B,0.481594679657312,0.5322709034673049,1.0,0.13157894736842105,0.992,0.0,0.31599290550991993,0.31712481801968717,0.6748898678414097,0,200.81046106220822,0.0006,0.6529,226,8,0.8376405969989635,0.40444152704253233,226,2778353.7836507484,0.0,0,63,6366,50,False
35,B,0.4618578375520488,0.5268742234114565,1.0,0.13157894736842105,0.992,0.0,0.3159929055099192,0.31970134653046206,0.6743672748675692,0,375.6921964117766,0.0007,0.6394,226,13,0.8360345656453609,0.4109647774577363,226,12279370.595106315,0.0,0,63,6366,50,False
36,B,0.4426473112362593,0.5221965473723631,1.0,0.15789473684210525,0.992,0.0,0.31599290550991826,0.3192110485124618,0.6750295159386068,0,583.508658846211,0.0006,0.6368,226,17,0.834685343697839,0.4164403267513449,226,6530945.41697323,0.0,0,63,6366,50,False
37,B,0.4229104691309962,0.5136461046075008,1.0,0.19736842105263158,0.992,0.0,0.3159929055099194,0.32130494019730427,0.6750961254066844,0,814.337208111116,0.0002,0.6261,226,21,0.8335158883345737,0.42210863911620544,226,4293160.363318634,0.0,0,63,6366,50,False
38,B,0.40396310070994373,0.5067607946720992,1.0,0.2236842105263158,0.992,0.0,0.31599290550991993,0.3216088629957253,0.6747148570582135,0,1099.3964954546855,0.0007,0.6231,226,24,0.8313782521959137,0.42758897619749736,226,8729004.084721424,0.0,0,63,6366,50,False
39,B,0.3844894164994176,0.5010410777173194,1.0,0.2236842105263158,0.992,0.0,0.3159929055099197,0.3224804725438835,0.6746326257978329,0,1451.6082070134746,0.0006,0.6137,226,27,0.8296569068988517,0.43202910171792475,226,13811525.455885276,0.0036562972858093547,0,63,6366,50,False
40,B,0.36554204807836493,0.4961372758489701,1.0,0.5657894736842105,0.992,0.0,0.31599290550991976,0.3244337406423298,0.6753942279083606,0,1841.9493616355228,0.0002,0.6039,226,30,0.8282269651909082,0.4374131342157276,226,7113913.223645868,0.0,0,63,6366,50,False
41,B,0.3458052059731015,0.49694680622337273,1.0,0.8421052631578947,0.992,0.0,0.3159929055099195,0.3264212578261667,0.6756595617826799,0,2273.7108289135685,0.0003,0.6013,226,33,0.8270010059953479,0.44465622586681275,226,8426203.11490928,0.0,0,63,6366,50,False
42,B,0.32606836386783833,0.4966134774854534,1.0,0.9736842105263158,0.992,0.0,0.31599290550991943,0.32702009741367327,0.674179104477612,0,2774.510836843968,0.0002,0.5933999999999999,226,38,0.827203382479017,0.45185685931620057,226,11905082.152536588,0.0,0,63,6366,50,False
43,B,0.30637998742787703,0.49548014736891244,1.0,1.0,0.992,0.0,0.31599290550991926,0.3270848513337214,0.6726973684210527,0,3326.3432804331846,0.0001,0.589,226,40,0.8271200460175856,0.45558885293405793,226,9992238.25795361,0.0,0,63,6366,50,False
44,B,0.2876957769015613,0.4937868162873319,1.0,1.0,0.992,0.0,0.31599290550991943,0.3297217640420806,0.6707134292565947,0,3970.373119277007,0.0003,0.5844,226,46,0.8268367104945835,0.4588660740161866,226,16772113.94629909,0.0,0,63,6366,50,False
45,B,0.26822209269103514,0.49226767226864904,1.0,1.0,0.992,0.0,0.3159929055099195,0.3324126736739738,0.6680697534576068,0,4698.601732145568,0.0004,0.5783,226,47,0.8264133756284819,0.461532228012843,226,15436768.757952137,0.0,0,63,6366,50,False
46,B,0.2495378821647195,0.4903042714555712,1.0,1.0,0.992,0.0,0.31599290550991965,0.33321833704457143,0.666767189384801,0,5543.640931810663,0.0005,0.5744,226,49,0.8260335881568168,0.4651400848082784,226,21655786.48881916,0.0,0,63,6366,50,False
47,B,0.2298010400594562,0.4880298908864193,1.0,1.0,0.992,0.0,0.31599290550991826,0.3331583008980007,0.6655579074690051,0,6465.512022156621,0.0002,0.5674,226,49,0.825542736926651,0.46909283623222087,226,14496818.61230211,0.0,0,63,6366,50,False
48,B,0.21056700693093075,0.4855378244880136,1.0,1.0,0.992,0.0,0.31599290550992026,0.3381058820653307,0.6652015762352228,0,7515.315291016311,0.0,0.5635,226,50,0.8249741410655351,0.4734099939940487,226,21480886.37004339,0.0,0,63,6366,50,False
49,B,0.19219862752821978,0.501375214850185,1.0,1.0,0.992,0.0,0.3159929055099197,0.3422305371941852,0.6631754705525197,0,8674.188109238145,0.0,0.5591999999999999,226,50,0.8243511239627539,0.4825082918947923,226,20400904.799351152,0.0,0,63,6366,50,False
