year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,B,0.640170382079357,0.22186341129676287,0.620523598102511,0.0,0.05,0.45,0.2562709082166269,0.4072532159250009,0.5765886287625418,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,66,6666,50,False
0,B,0.6921637608315837,0.21530438790773362,0.9999954037655414,0.0,0.1,0.43,0.2633804306076494,0.4020951247225842,0.582155767334867,0,0.0,0.1931,0.9996,0,0,0.48250000000000004,0.27007513023266916,0,0.0,0.13010444515081446,0,66,6666,50,False
1,B,0.7636961838396559,0.2986800248900742,1.0,0.0,0.1,0.41,0.26979376841607,0.3944551287283459,0.59476490547746,0,0.0,0.163,0.9955,0,0,0.48275000000000007,0.26832980448508625,0,0.0,0.1093783192719064,0,66,6666,50,False
2,B,0.8123623072107088,0.3561429707777125,1.0,0.0,0.1,0.38999999999999996,0.27547132581184963,0.38843217322728835,0.6007331845712464,0,0.0,0.1048,0.9941,0,0,0.5020667383386654,0.2595649679898798,0,0.0,0.08952746177147956,0,66,6666,50,False
3,B,0.8739911817093811,0.39546703289906443,1.0,0.0,0.1,0.36999999999999994,0.28002602295587986,0.3825168446988369,0.6060129072878955,0,0.0,0.067,0.9936,0,0,0.5177634551757313,0.25429259623365885,1,0.0,0.07255978261088646,0,66,6666,50,False
4,B,0.9120474887768749,0.42209387638400636,1.0,0.0,0.1,0.3499999999999999,0.28390791846123753,0.3741268164473477,0.611024602927437,0,0.0,0.0438,0.9905,3,0,0.5309261569616773,0.24434791180199272,5,0.0,0.06005837001379759,0,66,6666,50,False
5,B,0.9342034617404719,0.4598502611897747,1.0,0.0,0.159623601741952,0.3299999999999999,0.2871876261512598,0.37003599137064896,0.6148867313915858,0,0.0,0.0363,0.9879,12,0,0.5423150482118396,0.24281813230376575,14,0.0,0.052746072499089164,0,66,6666,50,False
6,B,0.9546264369502284,0.4853797305538144,1.0,0.0,0.24661998405527502,0.3099999999999999,0.2903771407038427,0.36133297266022923,0.6175207118748082,0,0.0,0.0241,0.984,24,0,0.5664102109398229,0.24399910089602264,33,0.0,0.043276942847653516,0,66,6666,50,False
7,B,0.9658800961675511,0.5023503591086369,1.0,0.0,0.3827474356818564,0.28999999999999987,0.2922876106524136,0.35448671906940293,0.6215515927450084,0,0.0,0.0185,0.9729,42,0,0.5922408040135048,0.2424810000427151,67,0.0,0.01850483346827031,0,66,6666,50,False
8,B,0.9716798758833257,0.5133297990970168,1.0,0.0,0.47206809848088005,0.26999999999999985,0.294645372411291,0.3467756650879971,0.6231467473524962,0,0.0,0.0132,0.9627,76,0,0.6237817167661703,0.24341851323293973,93,0.0,0.001894975775107402,0,66,6666,50,False
9,B,0.9629068285068093,0.5240061212771732,1.0,0.0,0.5984896755162241,0.24999999999999986,0.2970989810844637,0.34089840373172137,0.6262201531761525,0,0.0,0.01,0.9588,119,0,0.6471400726920988,0.24516406891845002,125,0.0,0.0,0,66,6666,50,False
10,B,0.9500951874572677,0.5305795468032906,1.0,0.0,0.6521110532708658,0.22999999999999987,0.2993046145973567,0.33368297229963206,0.6271464835000746,0,0.0,0.0065,0.9445,125,0,0.6762231673487266,0.249513108205657,163,0.0,0.0,0,66,6666,50,False
11,B,0.9349685964699946,0.5342809446715615,1.0,0.0,0.7692855893399186,0.20999999999999988,0.3011371314303003,0.32905979873156876,0.6299212598425197,0,0.0,0.0057,0.9286,179,0,0.6935252746828511,0.2532606830379683,188,0.0,0.0,0,66,6666,50,False
12,B,0.9192940541681371,0.5359719231793596,1.0,0.0,0.8470653845498098,0.1899999999999999,0.30319706790346757,0.32449180025528646,0.6313377679231338,0,0.0,0.0048,0.9143,201,0,0.7197576855628588,0.2591808330191955,213,0.0,0.0,0,66,6666,50,False
13,B,0.900869932639827,0.5292084671065641,1.0,0.0,0.9313586005830903,0.1699999999999999,0.3050497961962902,0.3193647938253353,0.6355732390215149,0,0.0,0.0035,0.8971,214,0,0.7396590161730974,0.2629914938923781,232,0.0,0.0,0,66,6666,50,False
14,B,0.8817161809135721,0.5235740478556051,1.0,0.0,0.9465189504373177,0.1499999999999999,0.3066817477229469,0.31556439242531814,0.6386690120199355,0,0.0,0.0022,0.8838,233,0,0.7584802662511549,0.2694765383259497,239,0.0,0.0,0,66,6666,50,False
15,B,0.8627388907493865,0.5187299543799408,1.0,0.0,0.9782973760932945,0.12999999999999992,0.30863933905704616,0.3105868913590552,0.6408686780352718,0,0.0,0.0028,0.8733,244,0,0.7672534061004349,0.27539251614894,244,0.0,0.0,0,66,6666,50,False
16,B,0.8433818246146619,0.5144390889469693,1.0,0.0,0.9820874635568513,0.15999999999999995,0.31062523916627044,0.30848439106550485,0.6442056346209701,0,0.0,0.0021,0.86,244,0,0.7587445311086334,0.2803164172810176,246,0.0,0.0,0,66,6666,50,False
17,B,0.8239664494420366,0.5137312585292896,1.0,0.0,0.9870437317784256,0.13999999999999996,0.3122338182547424,0.30472927415941264,0.6465069284064665,0,0.0,0.0025,0.8577,246,0,0.7661950970400284,0.2872850561163356,246,0.0,0.0,0,66,6666,50,False
18,B,0.8047559231262469,0.5123357772369094,1.0,0.0,0.9899591836734694,0.11999999999999995,0.31410397109772786,0.30240092340645064,0.6484104046242775,0,0.0,0.0021,0.8331999999999999,247,0,0.7747299180879164,0.29325896689866704,248,0.0,0.0,0,66,6666,50,False
19,B,0.7850190810209844,0.5104589403322449,1.0,0.0,0.992,0.09999999999999995,0.3141330292160596,0.30201245043180236,0.6510348820379216,0,0.0,0.0024,0.8247,248,0,0.7827962024424293,0.29961409369949954,248,0.0,0.0,0,66,6666,50,False
20,B,0.7650190810209836,0.5082451544989801,1.0,0.0,0.992,0.07999999999999995,0.3141440956189689,0.29976236817948687,0.6535284741341835,0,0.0,0.0012,0.815,248,0,0.7906176014905884,0.30699424264435915,248,0.0,0.0,0,66,6666,50,False
