year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,C,0.15978599571861113,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,58,5867
0,C,0.2383246737604398,0.39016273617744446,0.4740927195579874,0.445,0.05,0.6720269918441772,0.00948,0.6884205006062984,0.5368548044840568,0.5074205883689789,0.04980642012844166,0,0,0.09416999999999999,False,0,58,5867
1,C,0.3142781186613067,0.3450068235397339,0.4740927195579874,0.44,0.05,0.7942238450050354,0.00886,0.5563847403973341,0.499972290306512,0.524734418395036,0.048209332591606924,0,0,0.078237,False,0,58,5867
2,C,0.3950320498969388,0.26596811413764954,0.4740927195579874,0.435,0.05,0.7621752023696899,0.00892,0.34984807670116425,0.45056317603613943,0.4863837940863613,0.045930729244580915,0,0,0.08085149999999999,False,0,58,5867
3,C,0.476837880729578,0.16015705466270447,0.4740927195579874,0.43,0.05,0.7260642051696777,0.01054,0.07255800068378448,0.3889947598132316,0.43572066622907346,0.04350811130751196,0,0,0.08528699999999999,False,0,58,5867
4,C,0.5667153200506404,0.059806354343891144,0.4740927195579874,0.425,0.05,0.6919569969177246,0.01438,0.0,0.3484845573367689,0.37880867541607666,0.04105393638253278,0,0,0.09124199999999999,False,0,58,5867
5,C,0.6470286244877844,0.00518690375611186,0.4740927195579874,0.42,0.05,0.6503296494483948,0.02148,0.0,0.32029390949966563,0.3283211699873399,0.03835761320290091,0,0,0.09573,False,0,58,5867
6,C,0.7076270591829502,2.6246671041008085e-05,0.4740927195579874,0.415,0.05,0.6108372211456299,0.02978,0.0,0.3016501006996405,0.3082428438780539,0.03594821406978659,0,0,0.0979575,False,0,58,5867
7,C,0.770247220827437,0.0,0.4740927195579874,0.45999999999999996,0.05,0.5832731127738953,0.04126,0.0,0.2881630119793099,0.29309323520426245,0.034130261028931616,0,0,0.09816,True,0,58,5867
8,C,0.8228628662501505,0.0,0.4740927195579874,0.505,0.05,0.5570206046104431,0.05364,0.0,0.2742300260134116,0.27743819479314075,0.032251656179597014,0,0,0.09816,True,0,58,5867
