year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,C,0.15238366406617007,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,53,5367
0,C,0.2275144552482992,0.3925132155418396,0.4368564797847685,0.445,0.05,0.6711314916610718,0.00976,0.6977934474125504,0.5435153138393313,0.5095179716153506,0.050028490078014895,0,0,0.09416999999999999,False,0,53,5367
1,C,0.29458628945346266,0.3492036759853363,0.4368564797847685,0.44,0.05,0.7976655960083008,0.00918,0.5711862631142139,0.5084901398396126,0.5284535099741362,0.048906001544703336,0,0,0.0747255,False,0,53,5367
2,C,0.3717288434214227,0.2761114537715912,0.4368564797847685,0.435,0.05,0.7711330652236938,0.00872,0.37894925102591515,0.4633791221880721,0.4934000308990588,0.04689384651854843,0,0,0.07726949999999999,False,0,53,5367
3,C,0.43942825327949775,0.1757359355688095,0.4368564797847685,0.43,0.05,0.7388246059417725,0.01002,0.11778523772954941,0.40504217487014715,0.44566736855340916,0.044579569899509626,0,0,0.08137799999999999,False,0,53,5367
4,C,0.5135160109284925,0.07763238996267319,0.4368564797847685,0.425,0.05,0.7090337872505188,0.0134,0.0,0.36348500056285005,0.3938496418405646,0.042548587603767375,0,0,0.086994,False,0,53,5367
5,C,0.5849577947698376,0.013377612456679344,0.4368564797847685,0.42,0.05,0.6735815405845642,0.02002,0.0,0.3373622578600497,0.3445455821166832,0.040325954874297534,0,0,0.091671,False,0,53,5367
6,C,0.6392570689632003,0.00028252258198335767,0.4368564797847685,0.415,0.05,0.6438504457473755,0.02852,0.0,0.3195021974741461,0.3237605513075406,0.038182701359057186,0,0,0.0943035,False,0,53,5367
7,C,0.6975582893089141,4.8175306801567785e-06,0.4368564797847685,0.41,0.05,0.6132845878601074,0.04008,0.0,0.30737895320842734,0.3101857327591999,0.0365537231332563,0,0,0.09483,False,0,53,5367
8,C,0.7466937393497439,2.1615565515276103e-07,0.4368564797847685,0.45499999999999996,0.05,0.5926809906959534,0.05126,0.0,0.2944062414752523,0.2956104276727715,0.03480468652288489,0,0,0.09483,True,0,53,5367
9,C,0.7744976053518563,0.0,0.4368564797847685,0.5,0.05,0.5643587112426758,0.06286,0.0,0.28347357141781937,0.28332656516256405,0.03333062302166,4,4,0.09483,True,0,53,5367
10,C,0.8067635747658459,0.0,0.4368564797847685,0.545,0.05,0.5465476512908936,0.07608,0.0,0.27728721123234934,0.2763755986620359,0.03249650704159662,11,11,0.09483,True,0,53,5367
11,C,0.8275040498528687,0.0,0.4368564797847685,0.5900000000000001,0.05,0.539885938167572,0.08876,0.0,0.2701080330377367,0.26830910630853855,0.03152852795917693,11,16,0.09483,True,0,53,5367
12,C,0.8478625279834662,0.0,0.4368564797847685,0.6,0.05,0.525244951248169,0.10222,0.0,0.265493277330874,0.26312398753678284,0.03090631370656625,19,23,0.09483,True,0,53,5367
13,C,0.8650776982715037,0.0,0.4368564797847685,0.6,0.05,0.5168648958206177,0.11982,0.0,0.26096351594681616,0.2580343680041335,0.03029555936264833,23,32,0.09483,True,0,53,5367
14,C,0.8761896737761699,0.0,0.4368564797847685,0.6,0.05,0.5103713274002075,0.14184,0.0,0.25713314055772785,0.2537305754321241,0.0297791042540072,32,40,0.09483,True,0,53,5367
15,C,0.8819072981433345,0.0,0.4368564797847685,0.6,0.05,0.5074886083602905,0.17332,0.0,0.25466072600793954,0.25095258155595757,0.029445744988867217,51,51,0.09483,True,0,53,5367
16,C,0.885967033686557,0.0,0.4368564797847685,0.6,0.05,0.5025569796562195,0.2138,0.0,0.25338855458624543,0.2495231754641664,0.029274216257852283,60,63,0.09483,True,0,53,5367
17,C,0.8901404097577487,0.0,0.4368564797847685,0.6,0.05,0.49990200996398926,0.26632,0.0,0.2524852634278784,0.24850824157836077,0.029152424191555604,71,71,0.09483,True,0,53,5367
18,C,0.8913498084113028,0.0,0.4368564797847685,0.6,0.05,0.4955572783946991,0.3315,0.0,0.2515566872520383,0.24746489756056284,0.029027222909419854,81,84,0.09483,True,0,53,5367
19,C,0.8937842438437859,0.0,0.4368564797847685,0.6,0.05,0.49559107422828674,0.40632,0.0,0.25128759605162254,0.2471625478971743,0.02899094094981323,96,97,0.09483,True,0,53,5367
20,C,0.8959021430082305,0.0,0.4368564797847685,0.6,0.05,0.4904588460922241,0.48752,0.0,0.25074593416789503,0.24655393903905354,0.028917907886838738,97,102,0.09483,True,0,53,5367
21,C,0.8979756904265578,0.0,0.4368564797847685,0.6,0.05,0.494048535823822,0.5749,0.0,0.2502747016038061,0.2460244642479424,0.0288543709119054,103,105,0.09483,True,0,53,5367
22,C,0.8990733081712502,0.0,0.4368564797847685,0.6,0.05,0.4909501373767853,0.6596,0.0,0.24981333730322824,0.24550607739336056,0.028792164489355582,108,109,0.09483,True,0,53,5367
23,C,0.9016771248479782,0.0,0.4368564797847685,0.6,0.05,0.48944520950317383,0.73854,0.0,0.2495691173550342,0.24523167295718745,0.028759235957014812,110,110,0.09483,True,0,53,5367
24,C,0.9023064787492898,0.0,0.4368564797847685,0.6,0.05,0.4928809404373169,0.806,0.0,0.24898976814446222,0.24458071878800547,0.028681121456712966,112,112,0.09483,True,0,53,5367
25,C,0.9037241327168465,0.0,0.4368564797847685,0.6,0.05,0.4858127236366272,0.86164,0.0,0.24884973690142037,0.24442338031267757,0.028662240839673617,112,112,0.09483,True,0,53,5367
26,C,0.9046951750683195,0.0,0.4368564797847685,0.6,0.05,0.4911746382713318,0.90586,0.0,0.248534308893639,0.24406896682078838,0.02861971122064692,113,114,0.09483,True,0,53,5367
