year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,C,0.17037376938727936,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,87,8767
0,C,0.23033070256636906,0.3839903771877289,0.37623686931212985,0.445,0.05,0.6670547723770142,0.00988,0.6773333149030805,0.5422500374485847,0.5041255472578917,0.049488786918381614,0,0,0.09416999999999999,False,0,87,8767
1,C,0.30293460071106376,0.33478906750679016,0.37623686931212985,0.44,0.05,0.795792281627655,0.00934,0.5398280415683985,0.5090821195107873,0.5241478188576143,0.04942771022988763,0,0,0.069726,False,0,87,8767
2,C,0.3809602601147393,0.2534579038619995,0.37623686931212985,0.435,0.05,0.7707429528236389,0.00894,0.3316520433872938,0.4599104778087636,0.48540275126690763,0.04724959328554679,0,0,0.0725325,False,0,87,8767
3,C,0.4450973782779822,0.1483878493309021,0.37623686931212985,0.43,0.05,0.7328212261199951,0.01054,0.05723928473889828,0.39934798454694165,0.4349378455972498,0.04490882350343652,0,0,0.07710149999999999,False,0,87,8767
4,C,0.5200178941666205,0.056284815073013306,0.37623686931212985,0.425,0.05,0.706474244594574,0.01472,0.0,0.365538092143047,0.38349058409924186,0.04298470995853924,0,0,0.083004,False,0,87,8767
5,C,0.5950642887764078,0.0058395229279994965,0.37623686931212985,0.42,0.05,0.6787647008895874,0.02106,0.0,0.3413014835360728,0.33999552645834485,0.040737094481880086,0,0,0.087072,False,0,87,8767
6,C,0.6627208227118732,5.2898703870596364e-05,0.37623686931212985,0.415,0.05,0.6407411098480225,0.03058,0.0,0.3237356671017758,0.32123392780589805,0.038485702643586465,0,0,0.089097,False,0,87,8767
7,C,0.7263679535453622,0.0,0.37623686931212985,0.45999999999999996,0.05,0.6090744733810425,0.0406,0.0,0.30867415349555427,0.3043197943220317,0.03645600662552251,0,0,0.08934,True,0,87,8767
8,C,0.7795282652024705,0.0,0.37623686931212985,0.505,0.05,0.5817938446998596,0.05182,0.0,0.2945126668851029,0.2884080116136595,0.03454659270051783,0,0,0.08934,True,0,87,8767
