year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,C,0.15717529187333756,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,35,3567
0,C,0.22528965348703045,0.38932374119758606,0.44655373370284246,0.445,0.05,0.6706454753875732,0.00964,0.6890112087130547,0.5401228062388415,0.5079851698574122,0.049884741243799866,0,0,0.09416999999999999,False,0,35,3567
1,C,0.3078893493704948,0.3480967581272125,0.44655373370284246,0.44,0.05,0.800183892250061,0.00914,0.5659652408212423,0.5072545635272863,0.5281120628250082,0.04887577305836066,0,0,0.07584149999999999,False,0,35,3567
2,C,0.38337789180468684,0.26939740777015686,0.44655373370284246,0.435,0.05,0.7729008793830872,0.009,0.36204033717513084,0.4566787382750459,0.48909809621440986,0.04639778218185673,0,0,0.07823999999999999,False,0,35,3567
3,C,0.4486639484529177,0.1657855063676834,0.44655373370284246,0.43,0.05,0.7316269278526306,0.01004,0.09225556068122387,0.39736227472367647,0.44006537012112346,0.04413312590883097,0,0,0.08266350000000001,False,0,35,3567
4,C,0.5192915400436516,0.0690319761633873,0.44655373370284246,0.425,0.05,0.6990935206413269,0.01358,0.0,0.3590975415206783,0.3881998194440087,0.042174544209384046,0,0,0.08845499999999998,False,0,35,3567
5,C,0.5933250093151036,0.010113751515746117,0.44655373370284246,0.42,0.05,0.6726965308189392,0.0193,0.0,0.33454516869459383,0.34065189305827037,0.040055716461662026,0,0,0.0929355,False,0,35,3567
6,C,0.6677484583082289,0.00014804991951677948,0.44655373370284246,0.415,0.05,0.6423882842063904,0.02836,0.0,0.3165778665422614,0.3216687476712241,0.037834712383518466,0,0,0.095325,False,0,35,3567
7,C,0.725879337828157,6.24771701041027e-07,0.44655373370284246,0.45999999999999996,0.05,0.6024571657180786,0.03944,0.0,0.29999653536911863,0.3030628854229428,0.035602008913724704,0,0,0.09573,True,0,35,3567
8,C,0.7739219275288863,0.0,0.44655373370284246,0.505,0.05,0.5782541036605835,0.0515,0.0,0.2870623209601795,0.2885301655429608,0.033858082528126866,0,0,0.09573,True,0,35,3567
9,C,0.7995787552030683,0.0,0.44655373370284246,0.55,0.05,0.5542489290237427,0.06384,0.0,0.2763728447517672,0.2765195181177784,0.03241680483710498,1,2,0.09573,True,0,35,3567
10,C,0.8165682197383644,0.0,0.44655373370284246,0.5950000000000001,0.05,0.5392465591430664,0.07614,0.0,0.2706642005942617,0.2701053111992329,0.03164710000687953,2,8,0.09573,True,0,35,3567
11,C,0.8343290696762806,0.0,0.44655373370284246,0.6,0.05,0.5307176113128662,0.08898,0.0,0.26688404473515837,0.26585794506540894,0.031137416070820642,16,23,0.09573,True,0,35,3567
12,C,0.847070589035328,0.0,0.44655373370284246,0.6,0.05,0.5229350328445435,0.1037,0.0,0.262932255623972,0.2614177325809299,0.03060459057268316,25,29,0.09573,True,0,35,3567
