year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,A,0.1705296029227703,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,45,4565
0,A,0.2126335893908938,0.3831534683704376,0.4443309943904534,0.0,0.0,0.6619332432746887,0.00948,0.6790108243003488,0.5539340930557032,0.5363075073436379,0.05179611191231689,0,0,0.09416999999999999,False,0,45,4565
1,A,0.2605539028632678,0.34809157252311707,0.4443216329667672,0.0,0.0002,0.8099228739738464,0.00886,0.5691011492162943,0.536497132272022,0.560121193600466,0.05246168237436864,0,0,0.0758745,False,0,45,4565
2,A,0.32488483840640897,0.2924313545227051,0.44431202141159587,0.0,0.0004,0.8006117343902588,0.00796,0.4140113778412342,0.5094260852625313,0.5426993793715927,0.05189616658443429,0,0,0.07795199999999998,False,0,45,4565
3,A,0.3850353652885252,0.21115745604038239,0.44430201783011847,0.0,0.0006,0.7790035605430603,0.00896,0.19832289777696133,0.4688527390542788,0.5246853520978354,0.050838334633691765,0,0,0.08114999999999999,False,0,45,4565
4,A,0.44083035715576213,0.12050694227218628,0.4442914482271998,0.0,0.0008,0.7530249953269958,0.01126,0.0,0.42956926260768524,0.5187411586778687,0.049905918863043054,0,0,0.08572650000000001,False,0,45,4565
5,A,0.49011130747865594,0.04500093683600426,0.44428028027944166,0.0,0.001,0.7353643178939819,0.01576,0.0,0.4133589228090451,0.5138858490116217,0.04910417480305514,0,0,0.0905595,False,0,45,4565
6,A,0.5414245871504516,0.006481566000729799,0.44426873208124396,0.0,0.0012,0.7106446027755737,0.02312,0.0,0.40411639160039875,0.510622045535974,0.048497857972845906,0,0,0.09363749999999997,False,0,45,4565
7,A,0.5910531715983356,0.00021471139916684479,0.4442569914359611,0.0,0.0014000000000000002,0.6962764263153076,0.03212,0.0,0.39920862056869016,0.5067864771298822,0.047830575064674016,0,0,0.095217,False,0,45,4565
8,A,0.6410252727133624,9.8948362392548e-07,0.44424522903570796,0.0,0.0016,0.6788634061813354,0.04232,0.0,0.3955234409431092,0.5032967990260857,0.047213834937690324,0,0,0.09545999999999999,False,0,45,4565
9,A,0.6579266220337485,9.7236511464871e-07,0.4442334670663697,0.0,0.0064875,0.6598040461540222,0.05378,0.0,0.39173502506355085,0.49964766721154885,0.04658678952824205,0,0,0.09545999999999999,False,0,45,4565
