year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,A,0.15728758321339628,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,48,4865
0,A,0.19665006204287597,0.3894510567188263,0.4210008252540709,0.0,0.0,0.6697729825973511,0.00836,0.6895121242851019,0.5612082276054107,0.5396180122709813,0.05219337250359811,0,0,0.09416999999999999,False,0,48,4865
1,A,0.23457675947253043,0.3605494797229767,0.42098871884657507,0.0,0.0002,0.8182235956192017,0.00776,0.5929212607443333,0.5468124320202808,0.5669680648388109,0.05317448988617301,0,0,0.0734955,False,0,48,4865
2,A,0.27269661001748263,0.31498149037361145,0.4209763211282056,0.0,0.0004,0.8075582981109619,0.00708,0.46053120493888855,0.5257490696386122,0.5546136167475878,0.05290881002735833,0,0,0.0752115,False,0,48,4865
3,A,0.3278025371903793,0.2541710436344147,0.42096349847624803,0.0,0.0006,0.799829363822937,0.00718,0.29270278848707676,0.49886351676844376,0.537732409195067,0.052637338488193464,0,0,0.07786649999999999,False,0,48,4865
4,A,0.3829691049267389,0.17647583782672882,0.4209500996548756,0.0,0.0008,0.7798759341239929,0.00854,0.07791002094745636,0.46099907703983606,0.5330493657024051,0.05185628889952614,0,0,0.081345,False,0,48,4865
5,A,0.429145842328128,0.09584382176399231,0.42093596773227837,0.0,0.001,0.7597678303718567,0.01108,0.0,0.43636897553820975,0.5283511620688774,0.05107342585564907,0,0,0.085794,False,0,48,4865
6,A,0.4793617751132924,0.03319406136870384,0.4209212224512473,0.0,0.0012,0.7455405592918396,0.01638,0.0,0.42419791520869077,0.5258634118236061,0.05056026505283338,0,0,0.089502,False,0,48,4865
7,A,0.5300755744146346,0.0044282604940235615,0.42090605193732133,0.0,0.0014000000000000002,0.7241887450218201,0.02396,0.0,0.4161598288832756,0.5223021801391721,0.04992593452208875,0,0,0.0920535,False,0,48,4865
8,A,0.5771086605953396,0.0001897118054330349,0.420890695369301,0.0,0.0016,0.7087841033935547,0.0324,0.0,0.4116298500776344,0.518541198322011,0.049276672248187756,0,0,0.09322799999999999,False,0,48,4865
9,A,0.5918176235047504,9.908881111186929e-06,0.42087531974258763,0.0,0.04856829268292683,0.6933265328407288,0.04292,0.0,0.4084687854720866,0.5156268202410546,0.048737833228446804,1,1,0.09338999999999999,False,0,48,4865
