year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,A,0.1722638020608342,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,81,8165
0,A,0.21770877428274343,0.38239023089408875,0.4440203078792757,0.0,0.0,0.664452850818634,0.01004,0.6744188768789172,0.5530056220350061,0.5358739575591218,0.05174408593817497,0,0,0.09416999999999999,False,0,81,8165
1,A,0.2663225737938565,0.34516188502311707,0.44401073165302063,0.0,0.0002,0.8120115399360657,0.00932,0.5593148712068796,0.5339832429878524,0.5583577870082981,0.05231253369272494,0,0,0.075945,False,0,81,8165
2,A,0.3139834944898845,0.28691565990448,0.4440008816870036,0.0,0.0004,0.7980771064758301,0.0086,0.3985595628619194,0.5058034660221223,0.5399602902665319,0.05172621546965409,0,0,0.0781335,False,0,81,8165
3,A,0.364962955592385,0.21120508015155792,0.44399061754237445,0.0,0.0006,0.7825536727905273,0.00912,0.19469714909791946,0.4709563304011865,0.5274106880769667,0.05116848634843343,0,0,0.0814425,False,0,81,8165
4,A,0.41573408653210364,0.12808752059936523,0.44397980702598616,0.0,0.0008,0.7628566026687622,0.01114,0.0,0.4352059601364327,0.5237592611019037,0.0505112051568047,0,0,0.08574450000000002,False,0,81,8165
5,A,0.46618361290335686,0.05514221638441086,0.44396843306079825,0.0,0.001,0.7448444962501526,0.0158,0.0,0.4204975569859436,0.5201599166675364,0.049860179333777024,0,0,0.09027599999999998,False,0,81,8165
6,A,0.5072267047387872,0.01077290065586567,0.4439566842985536,0.0,0.0012,0.7224294543266296,0.02328,0.0,0.410117547474082,0.5166039691797988,0.04921880728229131,0,0,0.09323249999999998,False,0,81,8165
7,A,0.5503332846813349,0.0007121790549717844,0.4439447161432839,0.0,0.0014000000000000002,0.7129442095756531,0.03226,0.0,0.40692583744129407,0.5153359477327983,0.04885963201485084,0,0,0.09501449999999999,False,0,81,8165
8,A,0.5936360428513892,1.9532382793840952e-05,0.4439326914137618,0.0,0.052131582238899306,0.6949382424354553,0.04118,0.0,0.4046199930439069,0.5134767707553359,0.048438554298127115,0,0,0.09541949999999999,False,0,81,8165
9,A,0.6116464001470847,2.0243423932697624e-06,0.44392067510751065,0.0,0.0678612350804359,0.6830195188522339,0.05244,0.0,0.4023129097324822,0.5114949746770422,0.04801159180032071,0,0,0.09545999999999999,False,0,81,8165
10,A,0.6334053350150892,6.583571376950204e-08,0.44390865925081835,0.0,0.2088965517241379,0.6771809458732605,0.06368,0.0,0.4055847240682669,0.5157725364807593,0.048343401244512356,1,1,0.09545999999999999,False,0,81,8165
11,A,0.6474624062192124,8.543807439309603e-07,0.44389664384425,0.0,0.26835384615384617,0.6697306632995605,0.07374,0.0,0.4079821650838526,0.5190620453667334,0.04856275335703914,2,2,0.09545999999999999,False,0,81,8165
12,A,0.6635993229060253,0.0,0.44388462888753355,0.0,0.3565125541125541,0.6636804938316345,0.08512,0.0,0.412062264007453,0.5242385698312131,0.049013161374981136,5,5,0.09545999999999999,False,0,81,8165
13,A,0.6817251281373979,0.0,0.4438726143799179,0.0,0.46967283680175237,0.663533627986908,0.09796,0.0,0.4156573665244536,0.5288671843056094,0.04940117402394391,9,11,0.09545999999999999,False,0,81,8165
14,A,0.6935739065275952,8.213019100367092e-07,0.4438606003223611,0.0,0.49432276295133437,0.6631442904472351,0.11208,0.0,0.41879423270478167,0.5329787869158402,0.04972952001207889,15,15,0.09545999999999999,False,0,81,8165
15,A,0.7008025166482904,0.0,0.443848586714906,0.0,0.5453436376707405,0.6552382111549377,0.13032,0.0,0.4233164788837648,0.5386458811931799,0.05024617680094854,20,20,0.09545999999999999,False,0,81,8165
16,A,0.6902058628554731,2.5234342615476635e-07,0.4438365735564451,0.0,0.5724628992628993,0.658061683177948,0.15188,0.0,0.4288593058566505,0.5454585579821617,0.05090143863340224,23,25,0.09545999999999999,False,0,81,8165
17,A,0.681904141842602,0.0,0.4438245608483662,0.0,0.6633999999999999,0.6633362174034119,0.17864,0.0,0.4347911937244501,0.5524150700315102,0.05165545837877135,26,33,0.09545999999999999,False,0,81,8165
18,A,0.6743011802370994,0.0,0.44381254858959984,0.0,0.6842010928961748,0.6726567149162292,0.21446,0.0,0.4366396179710012,0.5544905002847281,0.05190463013623828,39,39,0.09545999999999999,False,0,81,8165
19,A,0.6587087618564041,0.0,0.4438005367808209,0.0,0.7908967741935483,0.6730435490608215,0.25838,0.0,0.43833256820104416,0.5563912406861038,0.05213283910699102,44,48,0.09545999999999999,False,0,81,8165
20,A,0.6422571489531785,0.0,0.44378852542177594,0.0,0.8209354838709677,0.6792194247245789,0.30764,0.0,0.44180317251521917,0.5602893452812776,0.05260073177649966,50,51,0.09545999999999999,False,0,81,8165
21,A,0.6275840831939835,0.0,0.4437765145124253,0.0,0.8508205837173579,0.6883253455162048,0.36424,0.0,0.4454649475623148,0.564402248507084,0.05309440027718689,52,54,0.09545999999999999,False,0,81,8165
22,A,0.6131716404259665,1.0727110293373698e-06,0.44376450405259793,0.0,0.8895268591426071,0.6958881616592407,0.42814,0.0,0.4487311567281929,0.5680705149468828,0.053534712359056234,58,58,0.09545999999999999,False,0,81,8165
23,A,0.5969217807956081,2.0225913033300458e-07,0.44375249404225237,0.0,0.9239798449612403,0.6961463093757629,0.4965,0.0,0.4519390857557751,0.571673625638887,0.05396720574669502,60,64,0.09545999999999999,False,0,81,8165
24,A,0.581922574606441,5.168685106582416e-07,0.4437404844815773,0.0,0.9401846153846153,0.7059699296951294,0.56602,0.0,0.455556017746082,0.5757360905464766,0.054454821635709236,64,64,0.09545999999999999,False,0,81,8165
25,A,0.5669038747378717,2.2036776954337256e-06,0.44372847537042315,0.0,0.936971975393028,0.7103856801986694,0.63128,0.0,0.4588948851273699,0.5794858920937683,0.054904917916990995,66,66,0.09545999999999999,False,0,81,8165
26,A,0.5504046204426798,5.143221642356366e-06,0.44371646670856313,0.0,0.9305731343283581,0.7203707098960876,0.69338,0.0,0.46223827771423825,0.5832405670609107,0.05535559900415962,66,66,0.09545999999999999,False,0,81,8165
27,A,0.5353667448096882,2.8970910079806345e-06,0.443704458496196,0.0,0.9387333333333333,0.7335633039474487,0.75046,0.0,0.465910315761524,0.5873653806347087,0.055850696719633976,66,68,0.09545999999999999,False,0,81,8165
28,A,0.5204399899746225,2.449276053084759e-06,0.44369245073342367,0.0,0.944265577342048,0.7358471155166626,0.80006,0.0,0.46925746675549135,0.5911248495429566,0.056301953070747396,68,69,0.09545999999999999,False,0,81,8165
29,A,0.5021809263740991,1.5256361621140968e-05,0.4436804434200554,0.0,0.9469764705882353,0.7422885298728943,0.84366,0.0,0.47258188155868625,0.594856538251723,0.056749875793427086,70,70,0.09545999999999999,False,0,81,8165
30,A,0.48527100982890553,2.0270001186872832e-05,0.4436684365560226,0.0,0.9736953628166595,0.749955952167511,0.87934,0.0,0.47664656599699123,0.5994213041518539,0.05729776777457648,73,73,0.09545999999999999,False,0,81,8165
31,A,0.46823563597990814,2.6534944481682032e-05,0.4436564301413861,0.0,0.9772144927536232,0.7566283345222473,0.90764,0.0,0.48041125286273484,0.6036487832881522,0.057805185339572615,73,73,0.09545999999999999,False,0,81,8165
32,A,0.45115310107382894,4.713821908808313e-05,0.4436444241761741,0.0,0.9776230215827336,0.7652249336242676,0.93022,0.0,0.4842060046799587,0.6079076267504016,0.05831636661918889,73,73,0.09545999999999999,False,0,81,8165
33,A,0.43294424987862085,6.53132883599028e-05,0.44363241866043945,0.0,0.9778230215827337,0.7803106307983398,0.94864,0.0,0.48801088555326466,0.6121782604769214,0.05882896272602339,73,73,0.09545999999999999,False,0,81,8165
34,A,0.4147464050222241,0.00010892988211708143,0.44362041359380733,0.0,0.9801812949640286,0.7802463173866272,0.96358,0.0,0.4920701879812932,0.6167304732757234,0.059375348317036974,73,74,0.09545999999999999,False,0,81,8165
35,A,0.3982206837549519,0.00014977541286498308,0.44360840897647824,0.0,0.9854635149023637,0.7910929918289185,0.9743,0.0,0.4961266257911863,0.6212799344898225,0.0599214037133952,74,74,0.09545999999999999,False,0,81,8165
36,A,0.3803478983743088,0.00022500923660118133,0.4435964048082701,0.0,0.9950571428571428,0.7879749536514282,0.98214,0.0,0.4998161742981656,0.6254113648066406,0.06041729539758666,74,74,0.09545999999999999,False,0,81,8165
37,A,0.3650264631274238,0.00039905335870571434,0.4435844010890404,0.0,0.9932156028368794,0.8077043294906616,0.98766,0.0,0.503820266066859,0.6298795611518013,0.06095359900068804,74,74,0.09545999999999999,False,0,81,8165
38,A,0.3483484930056731,0.0005378401256166399,0.4435723978189656,0.0,0.9934156028368795,0.8174650073051453,0.99224,0.0,0.5072513937792292,0.6337099199635227,0.06141336209528688,74,74,0.09545999999999999,False,0,81,8165
39,A,0.33174528285263094,0.0007626520819030702,0.44356038702267253,0.0,0.9936156028368794,0.8146505355834961,0.99524,0.0,0.5109972550289166,0.6378794124939603,0.06191382123164015,74,74,0.09541949999999999,False,0,81,8165
40,A,0.31532189134008165,0.001180915511213243,0.4435483766742767,0.0,0.9959432624113475,0.8245696425437927,0.99682,0.0,0.5147554999181767,0.6420302150322208,0.06241203764419434,75,75,0.09541949999999999,False,0,81,8165
41,A,0.2990061018663976,0.0017880559898912907,0.44353636677497343,0.0,1.0,0.8364720940589905,0.9979,0.0,0.518502066669064,0.6461360629103582,0.06290485949305478,75,76,0.09541949999999999,False,0,81,8165
42,A,0.2828580884706251,0.0024151529651135206,0.4435243573245238,0.0,1.0,0.8421423435211182,0.99866,0.0,0.5222276853925317,0.6502150102787793,0.06339445327625834,76,76,0.09537899999999999,False,0,81,8165
43,A,0.26680545689167773,0.003416040912270546,0.4435123483228558,0.0,1.0,0.8607198596000671,0.99908,0.0,0.5259720425362099,0.6542520136277223,0.06387901377263601,76,76,0.09537899999999999,False,0,81,8165
44,A,0.2511464641282548,0.004921776708215475,0.4435003524373362,0.0,1.0,0.859375,0.99942,0.0,0.5297709030879819,0.6582651715224591,0.0643607128100211,76,76,0.09533849999999999,False,0,81,8165
45,A,0.2356201483387812,0.006975177209824324,0.4434883580482709,0.0,1.0,0.870029091835022,0.99966,0.0,0.5335643284611328,0.6621799197133149,0.064830602551779,76,76,0.0952575,False,0,81,8165
46,A,0.22024741600899453,0.0099807633087039,0.4434763946744451,0.0,1.0,0.58,0.99986,0.0,0.5374710579344231,0.6660614986606833,0.06529651196935385,76,76,0.09508649999999999,False,0,81,8165
47,A,0.20544049487802218,0.013910241425037384,0.44346444060675316,0.0,1.0,0.58,0.9999,0.0,0.5414821977273235,0.6699046817431299,0.06575781357298571,76,76,0.09496499999999998,False,0,81,8165
48,A,0.1917558225016486,0.01925536058843136,0.4434525133633156,0.0,1.0,0.58,0.99994,0.0,0.5455797879333254,0.673606412025873,0.0662021407475918,76,76,0.09480299999999998,False,0,81,8165
49,A,0.17933209624964955,0.026719307526946068,0.4434406171271763,0.0,1.0,0.58,0.99998,0.0,0.5497454986557855,0.6770275801199664,0.06661280019131738,76,76,0.09460049999999999,False,0,81,8165
