index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
1,0,C,2008_myanmar_military,0.21231811337784529,0.279,0.55,0.0,0.23,0.0,0.0034190530598806365,0.35,0.61515,0.4159,0.0010526315789473684,0.35,0.44999999999999996,0,0.755,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
2,1,C,2008_myanmar_military,0.26778328135844265,0.06877348198889115,0.55,0.0,0.21000000000000002,0.0,0.022098648576194584,0.35,0.3466548078894466,0.4233,0.0017894736842105263,0.36,0.45999999999999996,4,0.7144046000386902,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
3,2,C,2008_myanmar_military,0.31256734969215155,0.0,0.55,0.0,0.19000000000000003,0.0,0.04457766145999793,0.35,0.30480782315945665,0.4308,0.003368421052631579,0.37,0.47,2,0.6738092000773804,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
4,3,C,2008_myanmar_military,0.3542102101355568,0.0,0.55,0.0,0.22000000000000006,0.0,0.06133136389677931,0.35,0.30070173770926334,0.4451,0.006210526315789474,0.38,0.48,0,0.6507785085053875,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
5,4,C,2008_myanmar_military,0.4008520284224247,0.0,0.55,0.0,0.20000000000000007,0.0,0.0708033707623665,0.35,0.3073930609263469,0.4562,0.008526315789473684,0.39,0.49,1,0.6557785085053875,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
6,5,C,2008_myanmar_military,0.4155545111564868,0.0,0.55,0.0,0.18000000000000008,0.0,0.08482316138783354,0.35,0.3088327054492843,0.4686,0.009263157894736843,0.4,0.5,2,0.6495985590870127,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
7,6,C,2008_myanmar_military,0.43554082460988885,0.0,0.55,0.0,0.1600000000000001,0.0,0.09782319127741622,0.35,0.3118213255575795,0.4702,0.010736842105263157,0.41000000000000003,0.51,1,0.6434186096686378,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
8,7,C,2008_myanmar_military,0.4580194296824196,0.0,0.55,0.0,0.1400000000000001,0.0,0.10422095280950475,0.35,0.31428866197706845,0.4795,0.01168421052631579,0.42000000000000004,0.52,1,0.6675685782531543,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
9,8,C,2008_myanmar_military,0.4748812633793807,0.0,0.55,0.0,0.12000000000000009,0.0,0.10697431718505171,0.35,0.32774032020194166,0.4876,0.012526315789473684,0.43000000000000005,0.53,1,0.6917185468376708,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
10,9,C,2008_myanmar_military,0.48899744053945843,0.0,0.55,0.1,0.10000000000000009,0.0,0.11420477628002587,0.35,0.33069859358052045,0.4982,0.013157894736842105,0.44000000000000006,0.54,3,0.6867838521993125,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
11,10,C,2008_myanmar_military,0.5080076946691934,0.0,0.55,0.07407407407407407,0.08000000000000008,0.0,0.11950312950518763,0.35,0.3420984299553071,0.5094,0.013789473684210527,0.45000000000000007,0.55,4,0.6466483460372037,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
12,11,C,2008_myanmar_military,0.5202409340035493,0.0,0.55,0.12121212121212122,0.06000000000000008,0.0,0.1236155168152701,0.35,0.3432545059303479,0.5397,0.014947368421052631,0.4600000000000001,0.56,3,0.6065128398750949,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
13,12,C,2008_myanmar_military,0.538324666629378,0.0,0.55,0.23076923076923078,0.04000000000000008,0.0,0.12763451803924578,0.35,0.3589060380821727,0.5597,0.015473684210526317,0.4700000000000001,0.5700000000000001,0,0.5954619969358608,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
14,13,C,2008_myanmar_military,0.5499564935809499,0.0,0.55,0.32558139534883723,0.020000000000000077,0.0,0.13118693357509226,0.35,0.3584290583995736,0.572,0.016105263157894737,0.4800000000000001,0.5800000000000001,0,0.6004619969358608,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
15,14,C,2008_myanmar_military,0.5608164239506938,0.0,0.55,0.42857142857142855,7.632783294297951e-17,0.0,0.13437946713652904,0.35,0.36685410289530557,0.5727,0.016526315789473684,0.4900000000000001,0.5900000000000001,0,0.6054619969358608,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
16,15,C,2008_myanmar_military,0.5681384265799455,0.0,0.55,0.5192307692307693,0.0,0.0,0.13559837133751015,0.35,0.3784171033749081,0.5874,0.016736842105263158,0.5000000000000001,0.6000000000000001,1,0.6104619969358608,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
17,16,C,2008_myanmar_military,0.5712149529709302,0.0,0.55,0.5454545454545454,0.0,0.0,0.13956074132543278,0.35,0.37311295568512776,0.5877,0.017368421052631578,0.5100000000000001,0.6100000000000001,1,0.6154619969358608,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
18,17,C,2008_myanmar_military,0.573891745866848,0.0,0.55,0.603448275862069,0.0,0.0,0.1391655500957813,0.35,0.37298496507891854,0.599,0.01757894736842105,0.5200000000000001,0.6200000000000001,2,0.6465798467366736,1,167,50,False,32,28,0.6300000000000002,0.6488000000000003
