year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,A,0.6507652299789582,0.21995691637231485,0.6205017801175212,0.0,0.05,0.45,0.2563843032982396,0.4127518410002651,0.5708741140735741,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,73,7365,50,False
0,A,0.7081240635176321,0.2139698414606214,1.0,0.0,0.0,0.43,0.2634541076870798,0.4110259910958011,0.5774880343290972,0,0.0,0.2066,0.999,0,0,0.48250000000000004,0.2672835153199753,0,0.0,0.12602537655246124,0,73,7365,50,False
1,A,0.7592519542888001,0.3162285536281295,1.0,0.0,0.0002,0.41,0.2702411510743359,0.4019360539697624,0.585594315245478,0,0.0,0.1641,0.9972,0,0,0.46900000000000003,0.26842545023456543,0,0.0,0.0986442390992448,0,73,7365,50,False
2,A,0.824674495524589,0.3878096521453835,1.0,0.0,0.0004,0.38999999999999996,0.27618796315534927,0.3947481301441673,0.5940672588832487,0,0.0,0.1004,0.9972,0,0,0.49384241615142366,0.2649741863929522,0,0.0,0.07024748551251635,0,73,7365,50,False
3,A,0.88626232773704,0.43791642110746665,1.0,0.0,0.00249873417721519,0.36999999999999994,0.281493275693333,0.3895753433317406,0.5991820040899796,0,0.0,0.0678,0.9972,0,0,0.5136411074574202,0.25720670447897936,0,0.0,0.0679823436238688,0,73,7365,50,False
4,A,0.9215288280916574,0.4729911593809178,1.0,0.0,0.04770918539690789,0.3499999999999999,0.2841684271911653,0.3830044175946495,0.6057587548638133,0,0.0,0.0446,0.9972,0,0,0.5301940014982001,0.24908091594396578,0,0.0,0.02863275449999559,0,73,7365,50,False
5,A,0.9467036751241394,0.4740849745626,1.0,0.0,0.12479120879120878,0.3299999999999999,0.2874476414252804,0.37634035276162053,0.6076222805122666,0,0.0,0.03,0.9959,0,0,0.5507422279210923,0.2421151923299189,4,0.0,0.011872594844265068,0,73,7365,50,False
6,A,0.9591118971821883,0.4748506451897751,1.0,0.0,0.183931124807396,0.3099999999999999,0.289783804751922,0.3690334182772552,0.6126857668147694,0,0.0,0.0232,0.9931,15,0,0.5684765671457597,0.23573904353922634,17,0.0,0.0,0,73,7365,50,False
7,A,0.9720313910711976,0.47538661462879955,1.0,0.0,0.3502964621876014,0.28999999999999987,0.2921879406089681,0.3631212876280851,0.6165218716659046,0,0.0,0.0203,0.9851,17,0,0.5840679795490533,0.23364087989496804,44,0.0,0.0,0,73,7365,50,False
8,A,0.9804043249754891,0.4757617932361147,1.0,0.0,0.41904853785670104,0.26999999999999985,0.2943028570191475,0.35694207077873336,0.6188964474678761,0,0.0,0.0138,0.9752,59,0,0.6161270776566901,0.23309735695783032,84,0.0,0.0,0,73,7365,50,False
9,A,0.9808177232147998,0.4929503680897883,1.0,0.0,0.5731688531456814,0.24999999999999986,0.29701382038273527,0.3519383498527779,0.6220188990550473,0,0.0,0.01,0.9652000000000001,110,0,0.6338128972574791,0.23627139964873284,117,0.0,0.0,0,73,7365,50,False
10,A,0.9692648248595599,0.5049823704873597,1.0,0.0,0.6305466556564822,0.22999999999999987,0.29944442816160555,0.34758569957966207,0.6253726893261777,0,0.0,0.0063,0.957,132,0,0.6687235377832609,0.24088463844279537,149,0.0,0.0,0,73,7365,50,False
11,A,0.9556290813677218,0.5134047721656556,1.0,0.0,0.7143760764014284,0.20999999999999988,0.3015426157044607,0.3435537765291824,0.6293716656787196,0,0.0,0.006,0.9402,149,0,0.6879850234225853,0.24720582394541016,179,0.0,0.0,0,73,7365,50,False
12,A,0.9390168797784142,0.5193004533404669,1.0,0.0,0.8026367144040714,0.1899999999999999,0.3035943246814948,0.34041772476601706,0.6313852495215663,0,0.0,0.0049,0.9306,187,0,0.7104178072182201,0.25447741756838455,208,0.0,0.0,0,73,7365,50,False
13,A,0.9208656192742116,0.5109519443573016,1.0,0.0,0.906241456582633,0.1699999999999999,0.3056110036956613,0.33390815512989297,0.6327634078620488,0,0.0,0.0033,0.9155,218,0,0.7329577623973418,0.25835741478125707,224,0.0,0.0,0,73,7365,50,False
14,A,0.9031465707464655,0.5051079880690879,1.0,0.0,0.9188203746302991,0.1499999999999999,0.30798575850817445,0.32865745603382585,0.6359406804303577,0,0.0,0.0031,0.9034,228,0,0.7542902039078498,0.2623195257176991,236,0.0,0.0,0,73,7365,50,False
15,A,0.8840962914168561,0.5010172186673316,1.0,0.0,0.955513966480447,0.12999999999999992,0.3102739825672762,0.3247239738341162,0.6385315797080503,0,0.0,0.0021,0.8935,240,0,0.7626312527436065,0.2682204593640308,241,0.0,0.0,0,73,7365,50,False
16,A,0.8645990847129453,0.498153680086105,1.0,0.0,0.974149720670391,0.10999999999999992,0.31210934396828555,0.3222035477142624,0.6412652767792955,0,0.0,0.0023,0.8799,246,0,0.7750532393111536,0.2743791850007965,249,0.0,0.0,0,73,7365,50,False
17,A,0.8448784143218844,0.4985833641975108,1.0,0.0,0.9894335195530726,0.08999999999999991,0.31387679506549754,0.3221620987561258,0.6430002862868595,0,0.0,0.0027,0.8704000000000001,253,0,0.7850911658926623,0.28138361906958936,253,0.0,0.0,0,73,7365,50,False
18,A,0.8249901461654612,0.49888414307548873,1.0,0.0,0.9980134078212289,0.06999999999999991,0.31544565615178216,0.3197963003967771,0.6464342086382552,0,0.0,0.0025,0.863,256,0,0.795462070421742,0.28798807527771386,256,0.0,0.0,0,73,7365,50,False
19,A,0.8050460120872472,0.499094688290076,1.0,0.0,1.0,0.049999999999999906,0.315448977055437,0.3160714483157112,0.6505816458423094,0,0.0,0.0021,0.8469,257,0,0.8048038879496395,0.29603930401747625,257,0.0,0.0,0,73,7365,50,False
20,A,0.785046012087249,0.499242069940289,1.0,0.0,1.0,0.029999999999999905,0.31544897705543845,0.3135419966648235,0.6521051875269436,0,0.0,0.0022,0.8297,258,0,0.8131402607778272,0.30503210740112485,258,0.0,0.0,0,73,7365,50,False
21,A,0.7650460120872479,0.5002294012547125,1.0,0.0,1.0,0.009999999999999905,0.3154489770554388,0.3133382141396576,0.6535693724812895,0,0.0,0.0023,0.8240000000000001,258,0,0.8211671295787875,0.3121467147321504,258,0.0,0.0,0,73,7365,50,False
22,A,0.7450460120872467,0.5009205331748112,1.0,0.0,1.0,0.0,0.3154489770554374,0.31158536419011595,0.6559434506635892,0,0.0,0.0006,0.8136,258,0,0.8294069787792798,0.3204380475116252,258,0.0,0.0,0,73,7365,50,False
23,A,0.7250460120872483,0.5014043255188826,1.0,0.0,1.0,0.0,0.31544897705543834,0.31101596373749285,0.6556855945672591,0,0.0,0.0009,0.8015,258,0,0.8335748732196244,0.32843559969983394,258,0.0,0.0,0,73,7365,50,False
24,A,0.7050460120872473,0.5017429801597337,1.0,0.0,1.0,0.0,0.31544897705543734,0.31114071085092704,0.65625,0,0.0,0.0007,0.7882,258,0,0.8336923993278657,0.33437914609377517,258,0.0,0.0,0,73,7365,50,False
25,A,0.685046012087248,0.5129622151279947,1.0,0.0,1.0,0.0,0.3154489770554384,0.3111856772388746,0.6562454769141699,0,0.0,0.0006,0.7793,258,0,0.8337746676036345,0.3428456564255564,258,0.0,0.0,0,73,7365,50,False
