year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,A,0.6597010641677813,0.21981612646528398,0.6187975748529513,0.0,0.05,0.45,0.2562856590699465,0.4057705854026745,0.5821416694379781,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,20,2065,50,False
0,A,0.7274114394147727,0.21387128852570017,1.0,0.0,0.0,0.43,0.2642292595068439,0.4007016483380455,0.59035359296073,0,0.0,0.1941,0.9958,0,0,0.48250000000000004,0.2673030678456503,0,0.0,0.12825028860810553,0,20,2065,50,False
1,A,0.7882882442436958,0.32067682963436916,1.0,0.0,0.0002,0.41,0.2701467944619994,0.3925648018489203,0.5947284345047923,0,0.0,0.1629,0.9958,0,0,0.46900000000000003,0.26605981124889444,0,0.0,0.11417583367918675,0,20,2065,50,False
2,A,0.84178959687573,0.3954407084104376,1.0,0.0,0.0004,0.38999999999999996,0.2757124065277319,0.3852867029980395,0.6059842519685039,0,0.0,0.1021,0.9958,0,0,0.4949717319165946,0.2619070890957709,0,0.0,0.09434561031019599,0,20,2065,50,False
3,A,0.8868235683445915,0.44777542355368094,1.0,0.0,0.006833746655108732,0.36999999999999994,0.28055297269661683,0.37718088919075093,0.6107403383516995,0,0.0,0.067,0.9958,0,0,0.5155609442582108,0.259692549322898,0,0.0,0.0733618300773912,0,20,2065,50,False
4,A,0.9189915186109376,0.484409724153958,1.0,0.0,0.07784953338119166,0.3499999999999999,0.28448715159909865,0.37182801140513044,0.6145577395577395,0,0.0,0.0466,0.9956,1,0,0.5333174548956086,0.25349128824540107,5,0.0,0.06377570644144437,0,20,2065,50,False
5,A,0.9436347080963504,0.5040625244998991,1.0,0.0,0.17813705266447882,0.3299999999999999,0.28726941112311,0.36745987268744923,0.6172895776359769,0,0.0,0.034,0.9911,8,0,0.5581238369519129,0.2494843078654268,11,0.0,0.056939992958913985,0,20,2065,50,False
6,A,0.958129578769156,0.5178194847420595,1.0,0.0,0.23566465860007438,0.3099999999999999,0.29040347630871277,0.36044301468196904,0.6199245283018868,0,0.0,0.0253,0.9858,11,0,0.5839769721590183,0.24499698958604424,28,0.0,0.03234628838769861,0,20,2065,50,False
7,A,0.9624062203447697,0.5274493569115704,1.0,0.0,0.34654274207982816,0.28999999999999987,0.29278230620122236,0.35156459981054605,0.6239136949355709,0,0.0,0.0153,0.9784,41,0,0.6025731181695863,0.24460879557834062,48,0.0,0.01233185064602152,0,20,2065,50,False
8,A,0.9640460112153049,0.5341902674302293,1.0,0.0,0.4768245463861595,0.26999999999999985,0.2953031550959364,0.3474294478405802,0.6284907902554961,0,0.0,0.0136,0.9664,63,0,0.6285817342757093,0.24750617954833548,83,0.0,0.0,0,20,2065,50,False
9,A,0.9517718679131246,0.5376445896981327,1.0,0.0,0.5513209545641569,0.24999999999999986,0.29812401745300826,0.3416934262355306,0.6306717737183265,0,0.0,0.0087,0.9595,92,0,0.6570878374305711,0.25075073576800216,111,0.0,0.0,0,20,2065,50,False
10,A,0.9379590692150978,0.5400626152856642,1.0,0.0,0.643632052613361,0.22999999999999987,0.3005747688861816,0.3344447160319654,0.6330114135206322,0,0.0,0.0077,0.9416,111,0,0.6766209026397191,0.2553985134060499,142,0.0,0.0,0,20,2065,50,False
11,A,0.9224189462705716,0.5417552331969352,1.0,0.0,0.7645350637092967,0.20999999999999988,0.3027394000052355,0.32804741748946453,0.6347775516138412,0,0.0,0.0062,0.9327,154,0,0.6987185901348136,0.26079503906331053,178,0.0,0.0,0,20,2065,50,False
12,A,0.9048729340006327,0.5429400657348233,1.0,0.0,0.8732588957055214,0.1899999999999999,0.3047952371962066,0.32329971742724806,0.6387078081993336,0,0.0,0.0044,0.9146,193,0,0.7250297577506037,0.26556191540277785,198,0.0,0.0,0,20,2065,50,False
13,A,0.8859772284791599,0.5376229924163627,1.0,0.0,0.9194711656441718,0.1699999999999999,0.3061697083502566,0.31761074624419644,0.6417373795483964,0,0.0,0.0043,0.8948,210,0,0.7494613337160173,0.27165110080182103,220,0.0,0.0,0,20,2065,50,False
14,A,0.8667134247981778,0.5339010410934332,1.0,0.0,0.9531067484662576,0.1499999999999999,0.3084534934758642,0.31398607505691395,0.644689694711194,0,0.0,0.0033,0.8843,224,0,0.7629426609992538,0.27815939811359625,227,0.0,0.0,0,20,2065,50,False
15,A,0.8470815229576866,0.5312956751673837,1.0,0.0,0.9845950920245398,0.12999999999999992,0.3098965467833839,0.30747879568938924,0.6482512491077802,0,0.0,0.0032,0.8766,232,0,0.774972639177274,0.28441328920390496,235,0.0,0.0,0,20,2065,50,False
16,A,0.827388271423946,0.5294719190191545,1.0,0.0,0.9857153374233127,0.10999999999999992,0.3114852668707629,0.3052776185893545,0.6494114310026946,0,0.0,0.0031,0.8683,236,0,0.7869851392393115,0.2908435749553646,236,0.0,0.0,0,20,2065,50,False
17,A,0.8073882714239444,0.5415158660548186,1.0,0.013157894736842105,1.0,0.08999999999999991,0.313498746998748,0.3031448718056537,0.6503536067892504,0,0.0,0.0025,0.8482000000000001,241,0,0.7946556500189339,0.29938007219020757,241,0.0,0.0,0,20,2065,50,False
18,A,0.7873882714239459,0.5499466289797869,1.0,0.013157894736842105,1.0,0.06999999999999991,0.3146589770213887,0.29957303465022234,0.6534863945578231,0,0.0,0.0016,0.8315,241,0,0.807780225269159,0.3077392042223358,241,0.0,0.0,0,20,2065,50,False
19,A,0.7673882714239446,0.5558481630272618,1.0,0.013157894736842105,1.0,0.049999999999999906,0.31465897702138745,0.2966416482968184,0.6558330967925063,0,0.0,0.0017,0.8226,241,0,0.8178675383737645,0.3170025838453209,241,0.0,0.0,0,20,2065,50,False
20,A,0.7473882714239464,0.5599792368605006,1.0,0.039473684210526314,1.0,0.029999999999999905,0.31465897702138823,0.29576078656229926,0.6570089475926715,0,0.0,0.0021,0.8084,241,0,0.8273286575469883,0.325427497752227,241,0.0,0.0,0,20,2065,50,False
21,A,0.7273882714239452,0.5638705700039474,1.0,0.039473684210526314,1.0,0.009999999999999905,0.3146589770213888,0.2944663275579294,0.6597923481723794,0,0.0,0.0011,0.7988999999999999,241,0,0.8363514409682449,0.33280792610730825,241,0.0,0.0,0,20,2065,50,False
22,A,0.7073882714239443,0.5665945032043634,1.0,0.039473684210526314,1.0,0.0,0.3146589770213889,0.29402605368233464,0.6610169491525424,0,0.0,0.0011,0.7838,241,0,0.845317284728171,0.3416975427728144,241,0.0,0.0,0,20,2065,50,False
23,A,0.6873882714239454,0.5685012564446529,1.0,0.039473684210526314,1.0,0.0,0.3146589770213887,0.29487329721974914,0.6609154427491801,0,0.0,0.0009,0.7807,241,0,0.8499933753601193,0.3490569557167129,241,0.0,0.0,0,20,2065,50,False
24,A,0.667388271423945,0.5698359837128528,1.0,0.05263157894736842,1.0,0.0,0.31465897702138745,0.29503970816734026,0.6606683804627249,0,0.0,0.0007,0.7615000000000001,241,0,0.8504666388024832,0.3548895074895425,241,0.0,0.0,0,20,2065,50,False
